,%blk
%blk,1.0
blk,0.7402974403992671
%reb,0.6519911934459558
height,0.6479157071357431
oreb%,0.6289481773066784
weight,0.5773942068992326
dreb%,0.5526594504767746
%fga_2pt,0.4677964401729108
%pf,0.4351634580433337
fg%,0.3606063459845766
dreb,0.30242696535453034
pf,0.25021673980438564
to_ratio,0.2150297815158129
%fta,0.19889373447137154
pitp,0.1936494059442315
%pfd,0.1301361909345956
ts%,0.12711425845077873
pie,0.07802953503997569
%pts_ft,0.07287383127879067
pfd,0.028835546608517823
+/-,0.014103018666521758
netrtg,0.013656540655678047
obbs,0.0007489949132960243
offrtg,-0.015825716817562084
def_ws,-0.02037928465445629
pace,-0.026389862064256236
defrtg,-0.036811614812538127
%tov,-0.05221625710215277
age,-0.052646518703286356
%pts,-0.06562452379738315
poss,-0.08166029420306574
%pts_offto,-0.13141383820660377
%pts_2pt_mr,-0.15049323292773403
stl%,-0.1737334803730397
ft%,-0.22185440398864095
fbps,-0.2831098913592824
3fgm_%uast,-0.2866938728593612
%pts_fbps,-0.31966641123446254
2fgm_%uast,-0.33456046657663485
ast/to,-0.3980018521924931
%ast,-0.41802449722628454
3p%,-0.41887858061326605
%pts_3pt,-0.44209649246476385
%3pm,-0.49409376898223006
