,%pts_fbps
%pts_fbps,1.0
fbps,0.5163331963743454
%pts_offto,0.3847655555841515
stl%,0.2489479216405896
%3pm,0.2084035119698632
3p%,0.19994473205099372
%ast,0.19642992404181014
ast/to,0.16573389913143705
3fgm_%uast,0.15409907857553934
2fgm_%uast,0.14336289462635496
%pts_3pt,0.12856586521139146
ft%,0.1094748593484749
poss,0.09100317412454938
def_ws,0.07257058607953941
%pts,0.05345365539217928
netrtg,0.04587212905370476
%tov,0.040480707068515615
pace,0.0380953650777611
offrtg,0.033453348944291895
+/-,0.025143431670691642
ts%,0.008431448557410433
pie,0.008254157212687761
obbs,0.0021808901704845423
pitp,-0.0036250648140275453
pfd,-0.0050454709621844404
%fta,-0.016235389219244504
defrtg,-0.027400147561463323
%pfd,-0.04848943382345411
%pts_ft,-0.05622126772437659
%pts_2pt_mr,-0.05650382297932308
fg%,-0.0788619489054543
to_ratio,-0.0827150695895924
pf,-0.11151967797888496
dreb,-0.1513219394299572
%fga_2pt,-0.1523727617802755
age,-0.17493030226456666
blk,-0.22098416962384054
%pf,-0.27305199265037194
oreb%,-0.2881132786855792
%blk,-0.31966641123446254
dreb%,-0.3418849973869366
%reb,-0.3577152242066842
height,-0.37168944465730547
weight,-0.4134284266490277
