,%pts_offto
%pts_offto,1.0
%pts_fbps,0.3847655555841515
stl%,0.1995612233807592
fbps,0.14657620959875492
netrtg,0.07890298128234075
%3pm,0.0656177123611347
def_ws,0.06557717796759706
3p%,0.06472145473669588
ast/to,0.05170322857977325
2fgm_%uast,0.04690773987030789
%pts_3pt,0.045005763243395606
%ast,0.04444552146934182
+/-,0.03418926281536132
ft%,0.03311949935489425
3fgm_%uast,0.02561688171803664
%tov,0.016533012850394158
pie,0.015297038377357668
to_ratio,0.007845886482425278
obbs,-0.0061478234655734845
%pts_2pt_mr,-0.008761297427177175
poss,-0.009764223211444819
ts%,-0.017862766436927798
%fta,-0.022497555098116892
%pts,-0.02288847589916415
%fga_2pt,-0.024454701242313238
offrtg,-0.028175244151405373
fg%,-0.041004605121196316
pitp,-0.05092785607499008
pf,-0.05653405582675476
pfd,-0.05745777853075955
oreb%,-0.06361234828476589
%pf,-0.06703545438352057
%pfd,-0.06797517999645365
pace,-0.07099365210779277
%pts_ft,-0.08183660921568484
age,-0.0931608219130168
dreb,-0.10648637508063126
blk,-0.10798347741985166
%blk,-0.13141383820660377
%reb,-0.134747310999696
defrtg,-0.14260001789556395
dreb%,-0.1484035687345614
height,-0.150184953182374
weight,-0.17288511295039952
