,%reb
%reb,1.0
dreb%,0.9311694940549754
oreb%,0.8285776170996287
height,0.7090714718892281
weight,0.7027736973573354
%blk,0.6519911934459558
%fga_2pt,0.5415387248635762
dreb,0.5271918506729937
blk,0.5207511417466051
%pf,0.4151549846677178
fg%,0.4014981867182777
pitp,0.29320475210609775
pf,0.27263472616114837
%fta,0.26110024654990716
to_ratio,0.20529028588063766
pie,0.19990888540936727
%pfd,0.19015185003106908
ts%,0.13576651398314857
%pts_ft,0.12086192695163855
pfd,0.09628337810940184
netrtg,0.029177206629172846
+/-,0.020992301618183922
pace,0.012340187958320661
obbs,-0.0017168818720968663
%pts,-0.010735677126286394
offrtg,-0.013389770330592072
%tov,-0.014808363948112592
def_ws,-0.018190887672576983
age,-0.025506605611201418
poss,-0.04582138595561763
defrtg,-0.0559646927864229
%pts_offto,-0.134747310999696
%pts_2pt_mr,-0.1700579180493563
stl%,-0.18065601418488597
ft%,-0.24150558531851662
fbps,-0.2760314973691126
3fgm_%uast,-0.3174761888032201
%pts_fbps,-0.3577152242066842
2fgm_%uast,-0.3577663276105491
%ast,-0.43320752963532233
ast/to,-0.4433691388794819
3p%,-0.452346094359153
%pts_3pt,-0.5286058953578209
%3pm,-0.5738340065708674
