,age
age,1.0
obbs,0.16505958452212188
+/-,0.1633117204100787
ast/to,0.15955219002027748
%pts_2pt_mr,0.15949240162554976
def_ws,0.13280700964825057
netrtg,0.1169512898197281
%pts_3pt,0.08608707607087031
ft%,0.08604515622348088
%ast,0.06915693674889274
offrtg,0.06679673039214838
weight,0.06639423893298779
%3pm,0.04787694814466878
dreb,0.04747297017289382
poss,0.04351517469387301
pf,0.02597807634693115
3p%,0.024600268933178935
pie,0.023958654704548266
ts%,0.021708128233385904
dreb%,0.0036014068306564426
3fgm_%uast,-0.011415206407871982
height,-0.015614570394925848
fg%,-0.02183167037514112
%reb,-0.025506605611201418
to_ratio,-0.026472549641475857
blk,-0.028381681538456754
stl%,-0.032768388457680105
%pf,-0.03429698216884129
%pts_ft,-0.044276001794844505
pfd,-0.04784371761273306
%blk,-0.052646518703286356
2fgm_%uast,-0.05443884447743032
%tov,-0.05864461291017875
%fga_2pt,-0.06235812468104182
oreb%,-0.07373319102680669
defrtg,-0.0904953240298211
%pts_offto,-0.0931608219130168
fbps,-0.09597258916485113
pitp,-0.10284560944897206
%pts,-0.10896399029694477
%pfd,-0.11129970070518069
%fta,-0.11957290574314096
pace,-0.14777537490789558
%pts_fbps,-0.17493030226456666
