,offrtg
offrtg,1.0
netrtg,0.7092704517409871
ts%,0.5412973377630149
+/-,0.5110913353788951
pie,0.4164830389436465
poss,0.39653126518761206
fg%,0.38855001566024605
pitp,0.3674693110242541
pfd,0.36359601882473763
dreb,0.3469741568615985
def_ws,0.3277022559140343
fbps,0.318275121608231
pf,0.30660356266196237
ft%,0.29867496127176063
3p%,0.27342289147281934
ast/to,0.2452505848210856
%pts,0.23373187063825687
%pts_3pt,0.20466143407144197
obbs,0.2035338856457128
%pfd,0.19198897109161345
blk,0.16465539232008342
%3pm,0.14702044228583785
defrtg,0.11268711732562382
3fgm_%uast,0.11061481530466234
2fgm_%uast,0.11020819370074689
%fta,0.10352263101349955
stl%,0.0911621915417517
%ast,0.08525974310986464
age,0.06679673039214838
dreb%,0.03358421368295219
%pts_fbps,0.033453348944291895
%tov,0.03070634089929074
pace,0.01332737748239155
oreb%,-0.010201328199239655
%reb,-0.013389770330592072
%blk,-0.015825716817562084
%pts_offto,-0.028175244151405373
weight,-0.03201393413365347
height,-0.05249194166653561
%fga_2pt,-0.14749741340172884
%pf,-0.1584235692157872
%pts_2pt_mr,-0.1612476124042184
%pts_ft,-0.22255914337279017
to_ratio,-0.2804252766850132
