,pie
pie,1.0
ts%,0.4784565251990268
%pts,0.46588018787639995
fg%,0.4267966341426212
offrtg,0.4164830389436465
pitp,0.4133593418296975
dreb,0.39382503128557295
poss,0.33225286241292246
pfd,0.32297716762167733
netrtg,0.31650121943182263
%fta,0.31027606078707715
def_ws,0.296520171075319
fbps,0.2887235283315848
dreb%,0.2524659696933633
ft%,0.2338583237020065
+/-,0.23294045087109982
blk,0.22457059370888396
%pfd,0.21217110676900305
pf,0.20920266291128203
%reb,0.19990888540936727
%ast,0.18375459871496247
%tov,0.15139544137192257
3fgm_%uast,0.13827056703794002
2fgm_%uast,0.13818781293501725
stl%,0.12286371149099827
3p%,0.12212828368304478
ast/to,0.1175419694671276
oreb%,0.11012073275402082
%fga_2pt,0.10387148918854229
%blk,0.07802953503997569
obbs,0.0656223802256719
%3pm,0.05600344378601772
weight,0.03549827437135614
%pts_2pt_mr,0.03222163313277078
age,0.023958654704548266
defrtg,0.01717804687388494
height,0.01651533397194074
%pts_offto,0.015297038377357668
%pts_fbps,0.008254157212687761
%pts_3pt,-0.053108767178264904
%pts_ft,-0.12910253902648602
pace,-0.13929985314401055
to_ratio,-0.14043626869982892
%pf,-0.22010323123063683
