,poss
poss,1.0
pitp,0.6415524022316034
dreb,0.6410142329040747
fbps,0.6398092750113022
pf,0.6170740215330701
def_ws,0.5990396243243656
pfd,0.49051653971395576
%pts,0.4239553237687071
offrtg,0.39653126518761206
ft%,0.3418726234556259
pie,0.33225286241292246
blk,0.3173217561720871
ts%,0.3125619149219448
+/-,0.2832307714747602
%fta,0.26313371890108384
3p%,0.260030240461984
netrtg,0.2595070364511494
%ast,0.22968847033992174
fg%,0.21033277172748707
%3pm,0.20896678350862127
ast/to,0.19912086128702614
3fgm_%uast,0.18917474132635048
2fgm_%uast,0.18536866448575556
%tov,0.17044991416717165
stl%,0.10810798557766951
%pts_2pt_mr,0.10160066419242506
obbs,0.09978561246073403
%pfd,0.09245668609551756
%pts_fbps,0.09100317412454938
defrtg,0.07522603258988853
age,0.04351517469387301
%pts_3pt,0.04112410956504887
dreb%,0.02044732692820638
%fga_2pt,-0.0028249537822213865
%pts_offto,-0.009764223211444819
%pts_ft,-0.010590404331710157
%reb,-0.04582138595561763
weight,-0.05220573239042076
height,-0.07041920588400609
%blk,-0.08166029420306574
oreb%,-0.10836208596142057
to_ratio,-0.20541182187842674
pace,-0.21659151206190172
%pf,-0.38614517773340057
