,stl%
stl%,1.0
%ast,0.33363862319388254
2fgm_%uast,0.25388630570318504
ast/to,0.24977075531354836
%pts_fbps,0.2489479216405896
fbps,0.2190599772415488
%pts_offto,0.1995612233807592
3fgm_%uast,0.19903797627007228
3p%,0.14872082373439083
%tov,0.1457711205551251
def_ws,0.12798581736881426
pie,0.12286371149099827
%3pm,0.11983627012580512
poss,0.10810798557766951
ft%,0.0991547808276491
netrtg,0.09420717137458041
offrtg,0.0911621915417517
%pts_3pt,0.08843576744746894
pfd,0.08269041107110114
+/-,0.0665924815579517
pitp,0.03887214702694566
pf,0.03428360596742681
%pts,0.024008445844549597
%pfd,0.021013843373024598
%fta,0.01657690902147615
%pts_2pt_mr,-0.0027266006325343535
dreb,-0.006603417920737419
ts%,-0.012482863715892531
%pts_ft,-0.02045473265486461
pace,-0.02445003193539557
obbs,-0.02511666507716209
to_ratio,-0.030649852735010124
defrtg,-0.031400157395441504
age,-0.032768388457680105
fg%,-0.07208962124524299
%fga_2pt,-0.09154086540229285
blk,-0.0972948462900756
%pf,-0.1354262169761999
dreb%,-0.14121712845430576
oreb%,-0.1701826278498554
%blk,-0.1737334803730397
%reb,-0.18065601418488597
weight,-0.30115646950846237
height,-0.3135203144987871
