,#,player,team,age,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",blk,blka,pf,pfd,season
0,1,Chris Gatling,DEN,32,85,34,51,21.3,2.1,2.5,0.9,6.2,8.5,6.5,6.7,17.6,0.3,0.7,2.9,0.5,'99-00
1,2,A.C. Green,LAL,36,82,67,15,23.5,0.9,1.5,0.5,2.3,6.4,6.3,6.0,17.5,0.2,0.3,1.5,0.2,'99-00
2,2,Aaron McKie,PHI,27,82,49,33,23.8,1.2,0.9,1.1,1.6,7.5,6.2,5.8,17.7,0.2,0.5,2.4,0.1,'99-00
3,2,Alan Henderson,ATL,27,82,28,54,33.9,2.0,3.5,1.7,7.8,12.5,9.5,12.2,30.2,0.7,1.1,2.8,0.2,'99-00
4,2,Allan Houston,NYK,29,82,50,32,38.6,2.8,1.3,1.4,3.3,12.4,9.7,8.7,25.8,0.2,0.5,2.7,0.4,'99-00
5,2,Andre Miller,CLE,24,82,32,50,25.6,2.2,1.0,2.3,6.1,9.8,7.6,6.9,19.3,0.2,1.1,2.4,0.4,'99-00
6,2,Andrew DeClercq,CLE,27,82,32,50,22.2,1.1,1.5,0.9,5.0,9.2,7.0,5.5,17.4,0.8,0.7,3.4,0.5,'99-00
7,2,Anthony Mason,CHH,33,82,49,33,38.2,1.7,1.6,0.5,5.9,12.2,10.0,10.9,31.3,0.4,0.9,2.7,0.3,'99-00
8,2,Anthony Peeler,MIN,30,82,50,32,25.3,1.5,1.2,2.1,2.2,7.7,7.4,7.1,20.4,0.1,0.4,2.1,0.1,'99-00
9,2,Antoine Walker,BOS,23,82,35,47,36.6,4.0,2.7,2.7,12.8,12.5,9.6,10.6,30.2,0.4,1.7,3.2,0.1,'99-00
10,2,Avery Johnson,SAS,35,82,53,29,31.4,2.1,0.6,2.5,6.1,10.2,8.8,7.7,23.2,0.2,0.7,1.8,0.1,'99-00
11,2,Baron Davis,CHH,21,82,49,33,18.6,1.5,0.6,1.8,3.0,6.1,6.0,4.5,15.5,0.2,0.3,2.5,0.1,'99-00
12,2,Bo Outlaw,ORL,29,82,41,41,28.4,1.2,1.7,1.1,4.7,10.5,8.6,7.4,22.3,1.8,0.3,2.5,0.4,'99-00
13,2,Bryon Russell,UTA,29,82,55,27,35.3,3.0,1.5,2.2,4.9,10.8,8.8,7.0,24.3,0.3,0.6,3.1,0.6,'99-00
14,2,Chris Whitney,WAS,28,82,29,53,19.8,1.4,0.9,0.7,1.3,6.8,4.9,5.2,14.8,0.1,0.2,2.0,0.5,'99-00
15,2,Christian Laettner,DET,30,82,42,40,29.8,1.8,2.2,1.2,5.5,11.3,8.4,8.4,24.1,0.5,0.7,4.0,0.2,'99-00
16,2,Chucky Atkins,ORL,25,82,41,41,19.9,1.6,0.7,2.1,2.9,7.6,5.6,5.6,15.8,0.0,0.4,1.7,0.2,'99-00
17,2,Darrell Armstrong,ORL,32,82,41,41,31.6,4.3,1.7,5.3,4.0,12.0,9.9,10.0,26.4,0.1,0.8,1.7,0.4,'99-00
18,2,David Wesley,CHH,29,82,49,33,33.6,2.6,1.0,2.7,2.5,11.4,9.2,10.4,27.8,0.1,0.6,2.3,0.3,'99-00
19,2,Dikembe Mutombo,ATL,34,82,28,54,36.4,1.2,3.7,0.3,6.9,13.0,10.0,12.2,29.0,3.3,0.5,3.0,0.3,'99-00
20,2,Dirk Nowitzki,DAL,22,82,40,42,35.9,3.0,1.8,3.1,3.9,11.1,12.3,11.7,31.7,0.8,0.7,3.1,0.6,'99-00
21,2,Eric Snow,PHI,27,82,49,33,34.9,1.6,0.5,1.5,3.2,10.6,9.4,9.1,27.3,0.1,0.5,3.0,0.6,'99-00
22,2,Gary Payton,SEA,31,82,45,37,41.8,4.6,2.5,4.0,10.2,12.3,12.7,11.5,35.2,0.2,0.8,2.2,0.4,'99-00
23,2,Greg Anthony,POR,32,82,59,23,18.9,1.0,0.7,1.1,0.9,6.0,5.7,4.5,13.7,0.1,0.1,1.7,0.2,'99-00
24,2,Howard Eisley,UTA,27,82,55,27,25.5,1.0,0.8,0.6,1.8,8.9,6.9,5.6,16.9,0.1,0.4,2.7,0.2,'99-00
25,2,Jerome Williams,DET,27,82,42,40,25.7,1.9,2.5,1.7,6.0,9.1,8.0,6.4,18.6,0.3,0.5,2.4,0.6,'99-00
26,2,Jerry Stackhouse,DET,25,82,42,40,38.4,4.4,2.2,5.2,8.4,14.2,11.4,10.4,30.8,0.4,1.3,2.3,0.2,'99-00
27,2,John Stockton,UTA,38,82,55,27,29.7,2.0,1.1,1.4,3.7,8.7,7.3,5.8,20.5,0.2,0.5,2.3,0.5,'99-00
28,2,Johnny Newman,NJN,36,82,31,51,21.4,2.2,1.0,0.7,3.0,7.0,6.4,6.2,17.2,0.1,0.7,2.5,0.2,'99-00
29,2,Juwan Howard,WAS,27,82,29,53,35.5,2.7,1.9,1.5,7.0,13.2,9.7,11.2,30.1,0.3,1.1,3.6,0.1,'99-00
30,2,Karl Malone,UTA,36,82,55,27,35.9,4.4,2.9,3.1,9.6,11.0,9.0,7.5,25.5,0.9,1.0,2.8,0.3,'99-00
31,2,Kenny Anderson,BOS,29,82,35,47,31.6,2.5,1.5,3.0,4.7,10.5,8.3,9.3,25.6,0.1,0.7,2.8,0.1,'99-00
32,2,Larry Hughes,GSW,21,82,33,49,28.4,3.2,1.9,3.2,5.9,10.0,8.3,9.3,23.4,0.3,1.1,2.3,0.1,'99-00
