,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
0,1,Los Angeles Lakers,82,67,15,3961,104.6,95.6,9.0,17.4,30.6,73.1,52.1,14.5,95.80,'99-00
1,2,Portland Trail Blazers,82,59,23,3956,105.1,97.7,7.4,18.2,30.3,72.4,52.4,16.4,92.40,'99-00
2,3,Indiana Pacers,82,56,26,3946,105.9,100.8,5.2,17.5,24.9,71.5,49.1,14.8,95.60,'99-00
3,4,Utah Jazz,82,55,27,3951,104.0,99.8,4.2,19.1,29.5,73.2,51.8,16.0,92.20,'99-00
4,5,Phoenix Suns,82,53,29,3961,101.8,96.2,5.6,18.8,29.3,70.5,50.3,17.2,96.70,'99-00
5,5,San Antonio Spurs,82,53,29,3971,102.8,95.7,7.1,17.3,27.8,73.0,51.4,16.1,93.10,'99-00
6,7,Miami Heat,82,52,30,3966,102.2,97.7,4.5,18.3,28.2,72.9,51.6,16.2,92.20,'99-00
7,8,Minnesota Timberwolves,82,50,32,3981,103.4,100.2,3.2,19.8,29.4,73.0,51.0,14.6,94.40,'99-00
8,8,New York Knicks,82,50,32,3966,99.8,98.1,1.7,15.8,24.7,73.1,49.7,15.9,91.70,'99-00
9,10,Charlotte Hornets,82,49,33,3956,101.7,98.9,2.8,18.4,25.7,73.2,50.0,15.2,96.30,'99-00
10,10,Philadelphia 76ers,82,49,33,3966,98.5,97.5,0.9,16.6,31.4,69.9,50.3,16.3,95.30,'99-00
11,12,Seattle SuperSonics,82,45,37,3956,102.6,101.8,0.8,17.2,28.5,69.6,48.8,14.5,96.00,'99-00
12,12,Toronto Raptors,82,45,37,3951,101.8,101.7,0.0,17.7,30.1,71.8,50.2,14.5,95.20,'99-00
13,14,Sacramento Kings,82,44,38,3961,101.9,99.9,2.0,17.0,27.7,69.7,48.6,15.7,101.90,'99-00
14,15,Detroit Pistons,82,42,40,3966,104.6,103.1,1.6,15.7,26.8,71.6,49.3,15.9,98.20,'99-00
15,15,Milwaukee Bucks,82,42,40,3971,104.9,104.9,0.0,17.1,30.0,69.6,49.9,15.5,95.50,'99-00
16,17,Orlando Magic,82,41,41,3951,99.4,98.9,0.5,15.3,31.6,69.9,50.8,17.5,100.20,'99-00
17,18,Dallas Mavericks,82,40,42,3946,103.8,104.5,-0.7,16.7,25.5,66.1,45.9,14.0,97.40,'99-00
18,19,Denver Nuggets,82,35,47,3971,100.8,102.8,-2.0,17.2,29.2,71.6,50.2,15.9,97.40,'99-00
19,19,Boston Celtics,82,35,47,3946,102.0,103.0,-1.0,15.9,30.4,73.8,51.0,15.8,97.10,'99-00
20,21,Houston Rockets,82,34,48,3966,101.6,103.1,-1.5,16.3,29.1,71.6,50.8,17.8,96.80,'99-00
21,22,Cleveland Cavaliers,82,32,50,3971,97.9,100.9,-3.0,17.3,28.1,71.2,49.4,17.6,98.40,'99-00
22,23,New Jersey Nets,82,31,51,3966,102.3,103.3,-1.0,15.8,28.1,67.2,47.0,14.2,95.10,'99-00
23,24,Washington Wizards,82,29,53,3961,100.7,104.1,-3.4,16.4,30.6,71.7,50.9,16.8,95.30,'99-00
24,25,Atlanta Hawks,82,28,54,3966,99.2,104.8,-5.7,14.6,31.7,71.0,51.3,16.2,94.40,'99-00
25,26,Vancouver Grizzlies,82,22,60,3971,99.7,105.3,-5.6,16.2,30.1,70.6,50.2,17.9,93.50,'99-00
26,27,Golden State Warriors,82,19,63,3951,96.9,105.8,-8.9,16.3,32.6,69.1,49.7,16.1,98.00,'99-00
27,28,Chicago Bulls,82,17,65,3961,91.2,102.3,-11.1,15.8,29.9,69.9,49.5,20.4,92.00,'99-00
28,29,Los Angeles Clippers,82,15,67,3940,95.2,107.3,-12.2,14.2,26.1,69.6,47.1,16.7,96.50,'99-00
0,1,San Antonio Spurs,82,58,24,3966,104.7,94.9,9.8,17.2,27.1,73.7,51.5,15.2,91.80,'00-01
1,2,Los Angeles Lakers,82,56,26,3981,105.6,101.7,3.9,17.4,31.1,72.5,52.0,15.2,94.30,'00-01
2,2,Philadelphia 76ers,82,56,26,3971,100.7,96.2,4.5,16.0,31.2,72.5,52.3,16.8,93.20,'00-01
3,4,Sacramento Kings,82,55,27,4016,102.8,97.0,5.8,16.8,27.2,70.7,49.5,15.0,97.00,'00-01
4,5,Dallas Mavericks,82,53,29,3961,104.5,100.1,4.4,16.5,24.1,70.7,48.0,14.5,95.50,'00-01
5,5,Utah Jazz,82,53,29,3956,104.1,100.0,4.1,19.6,30.2,73.2,52.1,17.0,92.30,'00-01
6,7,Milwaukee Bucks,82,52,30,3956,106.3,101.2,5.1,17.2,28.1,71.1,49.8,14.5,94.70,'00-01
