,#,team,gp,w,l,win%,min,efg%,"fta
rate",tov%,oreb%,"opp
efg%","opp
fta rate","opp
tov%","opp
oreb%",season
0,1,Los Angeles Lakers,82,67,15,.817,3961,48.4,0.347,14.6,32.4,44.3,0.300,15.2,29.5,'99-00
1,2,Portland Trail Blazers,82,59,23,.720,3956,50.1,0.316,16.6,33.5,46.1,0.303,15.8,30.7,'99-00
2,3,Indiana Pacers,82,56,26,.683,3946,50.3,0.302,14.9,27.6,46.9,0.261,14.4,30.9,'99-00
3,4,Utah Jazz,82,55,27,.671,3951,49.0,0.337,16.3,32.9,47.7,0.343,17.0,30.2,'99-00
4,5,Phoenix Suns,82,53,29,.646,3961,49.1,0.286,17.3,31.6,45.4,0.331,18.0,32.4,'99-00
5,5,San Antonio Spurs,82,53,29,.646,3971,48.8,0.346,16.2,30.1,45.1,0.255,15.5,29.7,'99-00
6,7,Miami Heat,82,52,30,.634,3966,49.5,0.283,16.3,30.4,45.3,0.307,15.3,30.4,'99-00
7,8,Minnesota Timberwolves,82,50,32,.610,3981,48.5,0.256,14.7,31.8,47.4,0.332,15.9,30.4,'99-00
8,8,New York Knicks,82,50,32,.610,3966,48.2,0.283,16.0,27.7,45.5,0.337,15.5,30.1,'99-00
9,10,Charlotte Hornets,82,49,33,.598,3956,47.5,0.376,15.3,28.3,47.8,0.265,16.5,28.8,'99-00
10,10,Philadelphia 76ers,82,49,33,.598,3966,45.7,0.329,16.5,33.5,46.6,0.303,18.5,32.0,'99-00
11,12,Seattle SuperSonics,82,45,37,.549,3956,48.7,0.282,14.8,31.2,48.3,0.259,16.1,32.7,'99-00
12,12,Toronto Raptors,82,45,37,.549,3951,46.4,0.300,14.7,32.4,48.0,0.323,16.1,31.4,'99-00
13,14,Sacramento Kings,82,44,38,.537,3961,48.6,0.277,16.0,30.8,47.9,0.264,17.3,32.1,'99-00
14,15,Detroit Pistons,82,42,40,.512,3966,49.2,0.378,16.0,29.5,49.9,0.334,17.4,30.6,'99-00
15,15,Milwaukee Bucks,82,42,40,.512,3971,49.4,0.290,15.8,32.7,49.6,0.337,16.7,33.3,'99-00
16,17,Orlando Magic,82,41,41,.500,3951,47.3,0.305,17.8,34.4,47.6,0.304,18.3,33.1,'99-00
17,18,Dallas Mavericks,82,40,42,.488,3946,49.0,0.248,14.2,28.1,48.8,0.284,16.6,35.3,'99-00
18,19,Boston Celtics,82,35,47,.427,3946,47.4,0.316,15.9,32.7,49.8,0.407,17.7,29.5,'99-00
19,19,Denver Nuggets,82,35,47,.427,3971,47.6,0.306,16.1,32.1,47.9,0.313,14.9,31.2,'99-00
20,21,Houston Rockets,82,34,48,.415,3966,49.4,0.322,18.1,32.1,48.1,0.259,14.3,30.9,'99-00
21,22,Cleveland Cavaliers,82,32,50,.390,3971,46.8,0.327,17.7,30.8,47.4,0.354,17.2,31.5,'99-00
22,23,New Jersey Nets,82,31,51,.378,3966,46.8,0.297,14.3,29.8,49.1,0.298,17.5,34.3,'99-00
23,24,Washington Wizards,82,29,53,.354,3961,47.6,0.315,17.0,32.9,48.9,0.367,15.7,31.4,'99-00
