,#,team,gp,w,l,min,"%fga
2pt","%fga
3pt","%pts
2pt","%pts
2pt- mr","%pts
3pt","%pts
fbps","%pts
ft","%pts
offto","%pts
pitp","2fgm
%ast","2fgm
%uast","3fgm
%ast","3fgm
%uast","fgm
%ast","fgm
%uast",season
0,1,Los Angeles Lakers,82,67,15,48.3,84.7,15.3,67.6,20.4,12.5,11.6,19.9,16.4,47.2,58.2,41.8,85.8,14.2,61.2,38.8,'99-00
1,2,Portland Trail Blazers,82,59,23,48.2,82.5,17.5,65.4,24.5,15.3,13.8,19.3,16.0,41.0,60.4,39.6,84.8,15.2,63.7,36.3,'99-00
2,3,Indiana Pacers,82,56,26,48.1,77.6,22.4,59.3,24.2,21.1,13.5,19.6,15.0,35.1,53.9,46.1,90.9,9.1,60.9,39.1,'99-00
3,4,Utah Jazz,82,55,27,48.2,86.6,13.4,66.5,28.9,12.5,11.3,21.0,17.4,37.6,67.1,32.9,83.6,16.4,68.9,31.1,'99-00
4,5,Phoenix Suns,82,53,29,48.3,81.6,18.4,65.0,22.4,16.9,14.4,18.1,18.8,42.6,63.2,36.8,94.3,5.7,67.8,32.2,'99-00
5,5,San Antonio Spurs,82,53,29,48.4,86.2,13.8,66.5,25.7,12.6,13.6,20.9,16.1,40.8,58.8,41.2,83.9,16.1,61.6,38.4,'99-00
6,7,Miami Heat,82,52,30,48.4,81.4,18.6,65.3,25.9,17.3,13.3,17.4,16.0,39.4,61.2,38.8,86.1,13.9,64.9,35.1,'99-00
7,8,Minnesota Timberwolves,82,50,32,48.5,89.6,10.4,73.7,37.7,9.2,15.4,17.1,16.5,36.1,66.9,33.1,85.9,14.1,68.4,31.6,'99-00
8,8,New York Knicks,82,50,32,48.4,85.3,14.7,67.4,30.0,13.9,9.0,18.7,16.5,37.4,50.2,49.8,88.6,11.4,54.8,45.2,'99-00
9,10,Charlotte Hornets,82,49,33,48.2,84.7,15.3,64.3,25.2,12.6,15.3,23.1,17.8,39.1,66.1,33.9,90.9,9.1,68.9,31.1,'99-00
10,10,Philadelphia 76ers,82,49,33,48.4,90.5,9.5,71.7,25.7,8.0,17.3,20.3,20.0,46.0,58.7,41.3,88.0,12.0,60.7,39.3,'99-00
11,12,Seattle SuperSonics,82,45,37,48.2,76.8,23.2,63.1,20.8,20.2,15.9,16.8,16.6,42.3,55.8,44.2,82.1,17.9,60.4,39.6,'99-00
12,12,Toronto Raptors,82,45,37,48.2,83.0,17.0,64.1,31.9,16.0,18.2,19.9,16.8,32.3,61.7,38.3,87.3,12.7,65.3,34.7,'99-00
13,14,Sacramento Kings,82,44,38,48.3,77.3,22.7,63.7,20.5,18.6,15.8,17.7,18.2,43.2,57.6,42.4,69.9,30.1,59.6,40.4,'99-00
14,15,Detroit Pistons,82,42,40,48.4,81.6,18.4,61.4,24.0,15.5,16.0,23.1,17.9,37.4,50.0,50.0,92.0,8.0,56.1,43.9,'99-00
15,15,Milwaukee Bucks,82,42,40,48.4,84.3,15.7,67.0,32.8,14.2,14.7,18.8,17.7,34.2,54.0,46.0,88.8,11.2,58.3,41.7,'99-00
16,17,Orlando Magic,82,41,41,48.2,87.6,12.4,70.1,28.4,10.7,19.8,19.2,20.3,41.6,51.9,48.1,73.5,26.5,53.9,46.1,'99-00
17,18,Dallas Mavericks,82,40,42,48.1,81.2,18.8,64.4,27.9,18.7,15.5,16.9,17.7,36.5,50.3,49.7,89.4,10.6,56.7,43.3,'99-00
18,19,Boston Celtics,82,35,47,48.1,81.7,18.3,64.7,21.8,15.4,13.0,19.9,18.4,42.9,51.5,48.5,91.6,8.4,57.0,43.0,'99-00
19,19,Denver Nuggets,82,35,47,48.4,79.8,20.2,63.8,22.2,17.4,15.2,18.9,15.9,41.6,59.6,40.4,78.5,21.5,62.5,37.5,'99-00
20,21,Houston Rockets,82,34,48,48.4,75.6,24.4,59.3,15.6,21.4,15.3,19.3,15.7,43.7,54.0,46.0,80.6,19.4,59.1,40.9,'99-00
21,22,Cleveland Cavaliers,82,32,50,48.4,86.4,13.6,66.3,24.5,12.9,17.5,20.8,18.3,41.7,62.3,37.7,87.8,12.2,65.2,34.8,'99-00
22,23,New Jersey Nets,82,31,51,48.4,80.0,20.0,62.3,25.4,17.8,12.3,19.9,19.4,36.9,50.5,49.5,89.1,10.9,56.7,43.3,'99-00
23,24,Washington Wizards,82,29,53,48.3,86.7,13.3,67.5,26.9,12.7,11.5,19.8,16.6,40.7,55.8,44.2,83.3,16.7,58.8,41.2,'99-00
24,25,Atlanta Hawks,82,28,54,48.4,88.0,12.0,70.9,31.4,10.0,14.7,19.1,13.9,39.5,48.9,51.1,80.6,19.4,51.6,48.4,'99-00
25,26,Vancouver Grizzlies,82,22,60,48.4,86.1,13.9,66.7,23.4,12.6,13.7,20.7,17.1,43.3,54.8,45.2,90.7,9.3,58.8,41.2,'99-00
26,27,Golden State Warriors,82,19,63,48.2,85.0,15.0,67.7,23.8,13.2,16.2,19.1,18.0,43.8,59.5,40.5,79.1,20.9,61.8,38.2,'99-00
27,28,Chicago Bulls,82,17,65,48.3,83.3,16.7,64.0,22.6,14.7,8.7,21.3,17.2,41.5,60.3,39.7,86.8,13.2,63.8,36.2,'99-00
28,29,Los Angeles Clippers,82,15,67,48.1,81.2,18.8,64.9,22.4,17.1,11.7,18.1,15.4,42.5,47.1,52.9,76.2,23.8,51.4,48.6,'99-00
0,1,San Antonio Spurs,82,58,24,48.4,82.5,17.5,61.9,23.8,16.9,11.8,21.2,16.3,38.0,56.9,43.1,87.6,12.4,61.7,38.3,'00-01
1,2,Los Angeles Lakers,82,56,26,48.5,80.9,19.1,64.7,20.7,16.0,9.6,19.3,14.8,44.1,56.5,43.5,86.6,13.4,60.7,39.3,'00-01
2,2,Philadelphia 76ers,82,56,26,48.4,87.6,12.4,68.0,23.8,10.1,17.1,21.9,18.7,44.2,55.4,44.6,87.8,12.2,58.3,41.7,'00-01
3,4,Sacramento Kings,82,55,27,49.0,80.6,19.4,63.6,20.5,17.2,16.2,19.2,17.7,43.1,55.4,44.6,79.7,20.3,59.1,40.9,'00-01
4,5,Dallas Mavericks,82,53,29,48.3,79.8,20.2,62.3,23.3,18.8,15.2,18.8,16.6,39.0,51.3,48.7,81.6,18.4,56.4,43.6,'00-01
5,5,Utah Jazz,82,53,29,48.2,86.5,13.5,66.2,22.6,12.3,11.8,21.5,18.0,43.6,69.3,30.7,87.4,12.6,71.3,28.7,'00-01
6,7,Milwaukee Bucks,82,52,30,48.2,78.2,21.8,61.7,28.5,20.4,14.5,17.8,16.9,33.2,52.9,47.1,87.9,12.1,59.3,40.7,'00-01
7,8,Phoenix Suns,82,51,31,48.3,84.4,15.6,67.8,28.1,12.9,15.1,19.3,19.8,39.7,61.5,38.5,89.8,10.2,64.7,35.3,'00-01
8,9,Miami Heat,82,50,32,48.5,77.9,22.1,60.8,24.6,19.7,11.2,19.5,19.1,36.2,56.0,44.0,81.2,18.8,60.5,39.5,'00-01
9,9,Portland Trail Blazers,82,50,32,48.2,83.5,16.5,67.4,26.0,14.1,12.9,18.5,17.3,41.4,62.9,37.1,82.9,17.1,65.3,34.7,'00-01
10,11,New York Knicks,82,48,34,48.5,82.0,18.0,65.0,27.1,16.1,8.3,18.9,17.6,37.9,50.6,49.4,82.6,17.4,55.2,44.8,'00-01
11,12,Minnesota Timberwolves,82,47,35,48.4,86.9,13.1,70.8,34.2,12.1,15.5,17.1,17.4,36.7,63.7,36.3,88.2,11.8,66.2,33.8,'00-01
12,12,Toronto Raptors,82,47,35,48.7,83.3,16.7,65.4,29.9,16.1,17.0,18.5,15.6,35.5,63.0,37.0,82.8,17.2,65.7,34.3,'00-01
13,14,Charlotte Hornets,82,46,36,48.5,84.9,15.1,65.3,28.3,13.5,14.7,21.2,16.8,37.0,65.0,35.0,88.5,11.5,67.9,32.1,'00-01
14,15,Houston Rockets,82,45,37,48.4,78.3,21.7,61.2,20.3,19.0,11.2,19.8,15.1,40.9,49.8,50.2,79.2,20.8,54.8,45.2,'00-01
15,16,Seattle SuperSonics,82,44,38,48.3,82.4,17.6,64.3,16.9,17.5,15.4,18.2,18.1,47.4,53.8,46.2,88.6,11.4,59.2,40.8,'00-01
16,17,Orlando Magic,82,43,39,48.7,80.4,19.6,63.1,25.8,18.4,15.4,18.5,18.9,37.3,54.8,45.2,85.9,14.1,59.8,40.2,'00-01
17,18,Indiana Pacers,82,41,41,48.7,82.0,18.0,64.1,28.1,15.7,12.0,20.3,15.6,36.0,58.0,42.0,88.9,11.1,62.3,37.7,'00-01
18,19,Denver Nuggets,82,40,42,48.2,79.0,21.0,62.3,21.9,19.4,15.8,18.3,15.2,40.4,62.0,38.0,86.1,13.9,66.1,33.9,'00-01
19,20,Boston Celtics,82,36,46,48.4,74.8,25.2,56.2,18.6,22.9,10.7,20.9,19.0,37.7,53.2,46.8,92.6,7.4,61.6,38.4,'00-01
20,21,Detroit Pistons,82,32,50,48.4,83.8,16.2,64.6,28.0,14.9,16.1,20.5,17.5,36.5,51.3,48.7,84.8,15.2,55.8,44.2,'00-01
21,22,Los Angeles Clippers,82,31,51,48.9,83.6,16.4,66.9,20.7,14.2,12.3,18.8,15.1,46.2,50.5,49.5,84.7,15.3,54.7,45.3,'00-01
22,23,Cleveland Cavaliers,82,30,52,48.4,89.9,10.1,70.6,27.4,8.7,14.2,20.6,17.4,43.2,56.4,43.6,91.4,8.6,59.1,40.9,'00-01
23,24,New Jersey Nets,82,26,56,48.1,83.5,16.5,64.1,22.5,14.3,12.8,21.6,18.4,41.6,54.3,45.7,79.8,20.2,57.6,42.4,'00-01
24,25,Atlanta Hawks,82,25,57,48.1,86.0,14.0,68.2,28.3,13.4,12.1,18.4,16.8,39.8,50.7,49.3,81.1,18.9,54.2,45.8,'00-01
25,26,Vancouver Grizzlies,82,23,59,48.2,85.5,14.5,67.7,31.6,13.0,12.8,19.4,16.5,36.1,63.5,36.5,87.4,12.6,66.2,33.8,'00-01
26,27,Washington Wizards,82,19,63,48.0,86.9,13.1,66.9,26.3,10.8,13.6,22.3,17.0,40.7,56.3,43.7,75.3,24.7,58.1,41.9,'00-01
27,28,Golden State Warriors,82,17,65,48.2,86.6,13.4,70.0,26.8,11.2,14.9,18.8,19.0,43.2,58.8,41.2,80.9,19.1,60.9,39.1,'00-01
28,29,Chicago Bulls,82,15,67,48.4,85.2,14.8,66.6,27.5,13.7,11.7,19.6,17.7,39.1,63.4,36.6,89.4,10.6,66.5,33.5,'00-01
0,1,Sacramento Kings,82,61,21,48.2,83.4,16.6,66.2,24.8,14.9,16.3,18.9,16.8,41.4,56.0,44.0,86.6,13.4,60.0,40.0,'01-02
1,2,Los Angeles Lakers,82,58,24,48.2,79.0,21.0,63.6,20.6,18.4,10.5,18.0,15.3,43.0,53.9,46.1,90.2,9.8,59.7,40.3,'01-02
2,2,San Antonio Spurs,82,58,24,48.4,81.0,19.0,62.4,19.7,16.6,12.0,21.0,17.6,42.7,50.7,49.3,88.6,11.4,56.4,43.6,'01-02
3,4,Dallas Mavericks,82,57,25,48.5,76.3,23.7,59.8,22.2,21.6,15.2,18.6,15.2,37.6,51.0,49.0,79.9,20.1,56.6,43.4,'01-02
4,5,New Jersey Nets,82,52,30,48.4,82.5,17.5,66.9,22.5,15.3,18.1,17.8,18.1,44.4,62.0,38.0,87.6,12.4,65.4,34.6,'01-02
5,6,Detroit Pistons,82,50,32,48.0,76.1,23.9,58.9,22.2,22.0,12.7,19.1,17.9,36.7,55.5,44.5,88.4,11.6,62.0,38.0,'01-02
6,6,Minnesota Timberwolves,82,50,32,48.3,84.8,15.2,68.2,29.8,14.6,12.9,17.2,15.2,38.4,60.4,39.6,79.3,20.7,62.8,37.2,'01-02
7,8,Boston Celtics,82,49,33,48.4,71.1,28.9,54.5,17.8,26.5,12.9,19.0,17.5,36.7,51.2,48.8,88.6,11.4,60.4,39.6,'01-02
8,8,Portland Trail Blazers,82,49,33,48.4,80.2,19.8,64.1,24.4,17.6,13.5,18.3,17.7,39.6,60.2,39.8,85.6,14.4,64.1,35.9,'01-02
9,10,Seattle SuperSonics,82,45,37,48.4,80.7,19.3,65.9,23.1,18.3,12.4,15.8,18.1,42.9,56.0,44.0,91.2,8.8,61.5,38.5,'01-02
10,11,Charlotte Hornets,82,44,38,48.2,84.9,15.1,66.2,25.9,13.5,13.5,20.4,16.1,40.2,58.0,42.0,81.2,18.8,60.8,39.2,'01-02
11,11,Orlando Magic,82,44,38,48.4,75.9,24.1,59.9,22.1,22.6,14.9,17.5,17.2,37.8,51.9,48.1,84.5,15.5,58.4,41.6,'01-02
12,11,Utah Jazz,82,44,38,48.4,86.8,13.2,65.8,23.8,10.7,13.0,23.5,19.6,42.0,67.8,32.2,87.1,12.9,69.7,30.3,'01-02
13,14,Philadelphia 76ers,82,43,39,48.1,88.9,11.1,69.4,26.6,8.6,15.1,22.0,17.7,42.8,55.8,44.2,89.7,10.3,58.4,41.6,'01-02
14,15,Indiana Pacers,82,42,40,48.5,81.8,18.2,63.7,25.4,15.3,16.3,20.9,15.9,38.3,60.1,39.9,89.6,10.4,64.2,35.8,'01-02
15,15,Toronto Raptors,82,42,40,48.2,83.5,16.5,67.6,28.8,15.5,18.1,16.9,17.1,38.7,57.1,42.9,85.8,14.2,60.9,39.1,'01-02
16,17,Milwaukee Bucks,82,41,41,48.5,75.9,24.1,61.2,27.3,22.2,12.6,16.5,14.7,33.9,55.0,45.0,84.3,15.7,60.7,39.3,'01-02
17,18,Los Angeles Clippers,82,39,43,48.3,82.8,17.2,65.3,20.0,15.6,10.3,19.1,15.0,45.3,52.3,47.7,91.9,8.1,57.7,42.3,'01-02
18,19,Washington Wizards,82,37,45,48.1,88.2,11.8,69.2,34.0,12.0,9.1,18.8,15.3,35.2,56.1,43.9,78.4,21.6,58.4,41.6,'01-02
19,20,Miami Heat,82,36,46,48.6,85.9,14.1,69.6,31.7,13.1,11.0,17.3,16.1,37.9,55.6,44.4,89.4,10.6,59.4,40.6,'01-02
20,20,Phoenix Suns,82,36,46,48.4,84.2,15.8,70.2,24.7,13.8,13.0,16.0,16.9,45.6,56.7,43.3,79.6,20.4,59.3,40.7,'01-02
21,22,Atlanta Hawks,82,33,49,48.2,81.9,18.1,64.3,21.9,16.5,15.8,19.3,18.0,42.4,52.5,47.5,83.9,16.1,57.0,43.0,'01-02
22,23,New York Knicks,82,30,52,48.3,79.4,20.6,62.4,26.4,18.9,10.5,18.7,15.6,36.0,56.6,43.4,82.9,17.1,61.1,38.9,'01-02
23,24,Cleveland Cavaliers,82,29,53,48.4,84.4,15.6,65.6,29.7,14.9,12.3,19.6,14.2,35.8,60.1,39.9,91.0,9.0,64.1,35.9,'01-02
24,25,Houston Rockets,82,28,54,48.7,77.7,22.3,61.8,24.2,19.7,9.7,18.5,14.5,37.6,45.7,54.3,82.9,17.1,52.2,47.8,'01-02
25,26,Denver Nuggets,82,27,55,48.3,81.3,18.7,65.9,24.0,16.8,15.1,17.3,16.2,42.0,58.6,41.4,84.2,15.8,62.3,37.7,'01-02
26,27,Memphis Grizzlies,82,23,59,48.2,83.2,16.8,68.2,24.4,13.7,13.0,18.1,16.6,43.8,61.3,38.7,72.3,27.7,62.6,37.4,'01-02
27,28,Chicago Bulls,82,21,61,48.3,86.6,13.4,68.5,31.3,12.3,12.7,19.3,16.6,37.1,61.7,38.3,89.0,11.0,64.6,35.4,'01-02
28,28,Golden State Warriors,82,21,61,48.2,85.8,14.2,66.9,19.8,12.0,15.0,21.1,16.9,47.1,53.2,46.8,88.1,11.9,56.9,43.1,'01-02
0,1,Dallas Mavericks,82,60,22,48.2,76.1,23.9,59.8,22.9,22.6,13.9,17.6,17.4,36.9,51.5,48.5,84.3,15.7,58.1,41.9,'02-03
1,1,San Antonio Spurs,82,60,22,48.4,79.8,20.2,62.6,17.2,17.1,12.3,20.3,17.1,45.4,49.9,50.1,90.9,9.1,56.3,43.7,'02-03
2,3,Sacramento Kings,82,59,23,48.4,81.6,18.4,66.0,25.9,17.7,13.8,16.4,17.0,40.0,58.3,41.7,87.4,12.6,62.7,37.3,'02-03
3,4,Minnesota Timberwolves,82,51,31,48.3,88.2,11.8,71.5,32.5,11.0,12.7,17.5,15.9,39.0,63.2,36.8,85.1,14.9,65.3,34.7,'02-03
4,5,Detroit Pistons,82,50,32,48.5,76.3,23.7,57.8,23.3,21.3,11.2,20.8,16.6,34.6,55.3,44.7,79.2,20.8,60.0,40.0,'02-03
5,5,Los Angeles Lakers,82,50,32,48.6,80.1,19.9,63.3,22.3,17.7,10.4,19.0,15.5,41.0,57.2,42.8,86.4,13.6,61.8,38.2,'02-03
6,5,Portland Trail Blazers,82,50,32,48.4,82.3,17.7,66.8,21.5,14.6,12.9,18.6,18.5,45.4,58.5,41.5,88.1,11.9,62.3,37.7,'02-03
7,8,New Jersey Nets,82,49,33,48.2,84.2,15.8,65.5,22.2,13.3,19.6,21.3,19.2,43.3,61.7,38.3,89.0,11.0,64.9,35.1,'02-03
8,9,Indiana Pacers,82,48,34,48.5,83.1,16.9,63.8,24.1,14.3,15.1,21.9,17.1,39.6,62.3,37.7,87.6,12.4,65.6,34.4,'02-03
9,9,Philadelphia 76ers,82,48,34,48.4,88.1,11.9,68.8,22.2,9.3,16.0,22.0,20.2,46.6,56.7,43.3,91.0,9.0,59.5,40.5,'02-03
10,11,New Orleans Hornets,82,47,35,48.5,83.9,16.1,65.2,26.8,15.7,11.9,19.1,17.5,38.4,58.2,41.8,85.4,14.6,62.0,38.0,'02-03
11,11,Utah Jazz,82,47,35,48.2,89.6,10.4,68.8,27.4,8.7,12.3,22.5,18.8,41.4,71.3,28.7,88.4,11.6,72.7,27.3,'02-03
12,13,Boston Celtics,82,44,38,48.4,66.9,33.1,52.1,14.9,28.4,9.6,19.5,18.5,37.2,49.6,50.4,82.3,17.7,58.3,41.7,'02-03
13,13,Phoenix Suns,82,44,38,48.3,83.0,17.0,66.7,23.6,15.1,11.5,18.3,18.7,43.0,53.0,47.0,85.0,15.0,57.2,42.8,'02-03
14,15,Houston Rockets,82,43,39,48.6,80.4,19.6,62.5,21.4,17.1,12.3,20.4,16.2,41.0,46.6,53.4,87.9,12.1,53.0,47.0,'02-03
15,16,Milwaukee Bucks,82,42,40,48.5,77.1,22.9,60.3,23.8,21.5,12.4,18.2,16.2,36.6,52.7,47.3,89.9,10.1,59.9,40.1,'02-03
16,16,Orlando Magic,82,42,40,48.3,76.5,23.5,58.9,25.7,21.1,12.9,20.0,18.1,33.2,51.5,48.5,79.2,20.8,56.9,43.1,'02-03
17,18,Seattle SuperSonics,82,40,42,48.4,80.4,19.6,64.4,25.2,18.1,12.6,17.5,18.7,39.2,56.0,44.0,90.6,9.4,61.5,38.5,'02-03
18,19,Golden State Warriors,82,38,44,48.2,82.2,17.8,62.8,21.2,15.2,13.5,22.1,14.5,41.5,51.7,48.3,81.9,18.1,55.9,44.1,'02-03
19,20,New York Knicks,82,37,45,48.4,76.5,23.5,60.1,29.2,23.1,8.8,16.8,16.1,30.9,55.5,44.5,80.7,19.3,60.7,39.3,'02-03
20,20,Washington Wizards,82,37,45,48.4,87.3,12.7,68.3,34.9,10.1,9.5,21.6,16.6,33.5,54.1,45.9,89.3,10.7,57.2,42.8,'02-03
21,22,Atlanta Hawks,82,35,47,48.5,82.3,17.7,63.7,26.5,15.6,13.5,20.7,15.1,37.2,54.3,45.7,85.6,14.4,58.7,41.3,'02-03
22,23,Chicago Bulls,82,30,52,48.6,85.2,14.8,67.9,21.5,13.4,12.9,18.7,15.8,46.4,56.2,43.8,84.8,15.2,59.6,40.4,'02-03
23,24,Memphis Grizzlies,82,28,54,48.6,81.0,19.0,64.6,22.2,17.5,16.6,17.9,16.4,42.4,58.4,41.6,82.2,17.8,62.1,37.9,'02-03
24,25,Los Angeles Clippers,82,27,55,48.2,81.8,18.2,63.6,17.9,15.2,12.7,21.2,16.1,45.7,51.8,48.2,86.9,13.1,56.6,43.4,'02-03
25,26,Miami Heat,82,25,57,48.4,83.1,16.9,66.7,29.9,14.9,11.6,18.4,17.2,36.8,51.9,48.1,82.5,17.5,55.8,44.2,'02-03
