,PF,PG,SG,SF,C
0,poss,poss,poss,poss,min
1,min,min,min,min,poss
2,netrtg,netrtg,netrtg,netrtg,netrtg
3,offrtg,usg%,efg%,to_ratio,pace
4,ts%,ts%,offrtg,offrtg,to_ratio
5,opp_pts_off_tov,def_ws,opp_pts_off_tov,opp_pts_off_tov,def_ws
6,stl%,stl%,def_ws,def_ws,defrtg
7,%blk,opp_pts_off_tov,stl%,%blk,opp_pts_off_tov
8,defrtg,%blk,opp_pts_paint,stl%,stl%
9,def_ws,defrtg,%blk,est._to_ratio,est._to_ratio
10,est._netrtg,est._netrtg,est._to_ratio,est._netrtg,est._netrtg
11,est._pace,est._offrtg,est._netrtg,est._pace,est._pace
12,est._defrtg,est._pace,est._pace,est._oreb%,est._ast_ratio
13,est._usg%,est._ast_ratio,est._offrtg,opp_pitp,opp_pts_fb
14,opp_pitp,opp_pts_fb,opp_pitp,opp_pts_fb,pitp
15,opp_pts_fb,opp_pitp,pitp,pitp,opp_pitp
16,pitp,pitp,opp_pts_fb,%pts_offto,%pts_ft
17,%pts_fbps,%pts_fbps,%pts_offto,%pts_pitp,%pts_pitp
18,%pts_offto,%pts_2pt_mr,%pts_fbps,%pts_fbps,%pts_offto
19,%pts_ft,%pts_ft,%pts_2pt_mr,%pts_2pt_mr,%pts_2pt_mr
20,%pts_2pt_mr,%pts_offto,%pts_pitp,+/-,+/-
21,+/-,fg%,+/-,fg%,ft%
22,fg%,+/-,fg%,fp,fg%
23,ft%,fp,ft%,ft%,fp
24,fp,ft%,fp,%stl,%stl
25,%tov,%ast,%ast,%pf,%ast
26,%stl,%pf,%tov,%blka,%blka
27,%blka,%tov,%pf,%tov,%pf
28,%ast,,%blka,,
