,team,season,team_obbs
0,Los Angeles Lakers,2000,0.8170731707317073
1,Portland Trail Blazers,2000,0.7195121951219512
2,Indiana Pacers,2000,0.6829268292682927
3,Utah Jazz,2000,0.6707317073170732
4,Phoenix Suns,2000,0.6463414634146342
5,San Antonio Spurs,2000,0.6463414634146342
6,Miami Heat,2000,0.6341463414634146
7,Minnesota Timberwolves,2000,0.6097560975609756
8,New York Knicks,2000,0.6097560975609756
9,Charlotte Hornets,2000,0.5975609756097561
10,Philadelphia 76ers,2000,0.5975609756097561
11,Seattle SuperSonics,2000,0.5487804878048781
12,Toronto Raptors,2000,0.5487804878048781
13,Sacramento Kings,2000,0.5365853658536586
14,Detroit Pistons,2000,0.5121951219512195
15,Milwaukee Bucks,2000,0.5121951219512195
16,Orlando Magic,2000,0.5
17,Dallas Mavericks,2000,0.4878048780487805
18,Boston Celtics,2000,0.4268292682926829
19,Denver Nuggets,2000,0.4268292682926829
20,Houston Rockets,2000,0.4146341463414634
21,Cleveland Cavaliers,2000,0.3902439024390244
22,Brooklyn Nets,2000,0.3780487804878049
23,Washington Wizards,2000,0.35365853658536583
24,Atlanta Hawks,2000,0.34146341463414637
25,Memphis Grizzlies,2000,0.2682926829268293
26,Golden State Warriors,2000,0.23170731707317074
27,Chicago Bulls,2000,0.2073170731707317
28,Los Angeles Clippers,2000,0.18292682926829268
29,San Antonio Spurs,2001,0.7073170731707317
30,Los Angeles Lakers,2001,0.6829268292682927
31,Philadelphia 76ers,2001,0.6829268292682927
32,Sacramento Kings,2001,0.6707317073170732
33,Dallas Mavericks,2001,0.6463414634146342
34,Utah Jazz,2001,0.6463414634146342
35,Milwaukee Bucks,2001,0.6341463414634146
36,Phoenix Suns,2001,0.6219512195121951
37,Miami Heat,2001,0.6097560975609756
38,Portland Trail Blazers,2001,0.6097560975609756
39,New York Knicks,2001,0.5853658536585366
40,Minnesota Timberwolves,2001,0.573170731707317
41,Toronto Raptors,2001,0.573170731707317
42,Charlotte Hornets,2001,0.5609756097560976
43,Houston Rockets,2001,0.5487804878048781
44,Seattle SuperSonics,2001,0.5365853658536586
45,Orlando Magic,2001,0.524390243902439
46,Indiana Pacers,2001,0.5
47,Denver Nuggets,2001,0.4878048780487805
48,Boston Celtics,2001,0.43902439024390244
49,Detroit Pistons,2001,0.3902439024390244
50,Los Angeles Clippers,2001,0.3780487804878049
