,%3pm
%3pm,1.0
%pts_3pt,0.8041630834001022
3p%,0.679547986343704
fbps,0.3552937522721625
ft%,0.3254088910623546
ast/to,0.30152161043938097
%pts,0.30020773133490875
2fgm_%uast,0.2678412143592289
3fgm_%uast,0.25183980033363673
%ast,0.24747784840650605
poss,0.20896678350862127
%pts_fbps,0.2084035119698632
offrtg,0.14702044228583785
def_ws,0.12295396856727384
ts%,0.12187369267489544
stl%,0.11983627012580512
netrtg,0.07262273207755929
+/-,0.0707050301396533
%pts_offto,0.0656177123611347
defrtg,0.06118546766969534
pie,0.05600344378601772
age,0.04787694814466878
pfd,0.03224527892949736
obbs,0.02628736826564506
%tov,0.0003354458895618136
%pts_2pt_mr,-0.005018709658282511
pace,-0.011860241882780112
pf,-0.108025547442718
%pfd,-0.12457567605263865
dreb,-0.1396140408655436
pitp,-0.15543487600068379
%fta,-0.16853784196640603
fg%,-0.2651679348379654
%pts_ft,-0.2720554009954979
to_ratio,-0.30423172021016937
blk,-0.3317948265089057
%pf,-0.4285776385223159
dreb%,-0.4485531313267241
height,-0.4563486877335827
weight,-0.4760210360096338
%blk,-0.49409376898223006
%reb,-0.5738340065708674
oreb%,-0.6224114116365664
%fga_2pt,-0.7514349237560607
