,%pf
%pf,1.0
oreb%,0.48070600690272425
%blk,0.4351634580433337
weight,0.432134852610905
height,0.4244472352241621
%reb,0.4151549846677178
%fga_2pt,0.34841315423677616
to_ratio,0.3446369011922953
dreb%,0.3010765226910924
pf,0.17369333279911353
fg%,0.15288223275725726
blk,0.13605548528216002
%pts_ft,0.10626367382495465
%pfd,0.05207377767371675
%fta,0.021583446535128916
%tov,0.010147308144587386
obbs,0.008311181980743824
pace,-0.006659102250248893
age,-0.03429698216884129
defrtg,-0.03846260945122031
ts%,-0.04458435638730169
%pts_offto,-0.06703545438352057
+/-,-0.08018503928347569
netrtg,-0.09769023791861661
dreb,-0.1204809126578773
%pts_2pt_mr,-0.13246425485609975
stl%,-0.1354262169761999
offrtg,-0.1584235692157872
pitp,-0.1736924760036932
pfd,-0.19363642254204122
pie,-0.22010323123063683
%pts,-0.25588329766810886
def_ws,-0.267709378569762
3fgm_%uast,-0.2716199947320015
%pts_fbps,-0.27305199265037194
ft%,-0.2799599136263054
2fgm_%uast,-0.2888165140513363
%pts_3pt,-0.3438621193758089
%ast,-0.352876002404639
ast/to,-0.38559564241627736
poss,-0.38614517773340057
3p%,-0.396356505221295
%3pm,-0.4285776385223159
fbps,-0.4390099122238602
