,+/-
+/-,1.0
netrtg,0.6913761125374778
def_ws,0.6733586159709566
obbs,0.6048453252374926
offrtg,0.5110913353788951
poss,0.2832307714747602
ts%,0.2701119492984205
dreb,0.24864324390530526
pie,0.23294045087109982
fbps,0.22591977628073515
pitp,0.21773229454906667
fg%,0.19628410202008728
pfd,0.19535649629000207
ast/to,0.16502950667668212
age,0.1633117204100787
blk,0.16275433220458574
%pts,0.13812391121471881
pf,0.12720603044745768
3p%,0.12625596724144666
ft%,0.12524254942264867
%fta,0.09458292346312708
%ast,0.07504411276529355
%3pm,0.0707050301396533
%pts_3pt,0.07024214400496981
stl%,0.0665924815579517
%tov,0.06517250603276148
dreb%,0.06509211286154191
3fgm_%uast,0.06180274253157015
%pfd,0.05992761629953677
%pts_offto,0.03418926281536132
weight,0.026090716744872816
%pts_fbps,0.025143431670691642
%reb,0.020992301618183922
2fgm_%uast,0.016538381582172704
%blk,0.014103018666521758
oreb%,0.012394703162651868
height,0.0011799344239631908
%pts_ft,-0.018098536865220744
%pts_2pt_mr,-0.04653190315775681
%fga_2pt,-0.052742693086134336
pace,-0.05743492410680196
%pf,-0.08018503928347569
to_ratio,-0.1399671054326986
defrtg,-0.40596828800337875
