,3p%
3p%,1.0
%3pm,0.679547986343704
%pts_3pt,0.6444637404363094
ast/to,0.3551599680860284
ft%,0.3469135132486859
fbps,0.3372214110458619
3fgm_%uast,0.29985745952386134
%ast,0.27529364889946645
offrtg,0.27342289147281934
poss,0.260030240461984
%pts,0.2546625609769713
2fgm_%uast,0.23964910300841388
ts%,0.23021498165424445
%pts_fbps,0.19994473205099372
def_ws,0.17828027333361923
stl%,0.14872082373439083
netrtg,0.13303033687669172
+/-,0.12625596724144666
pie,0.12212828368304478
pfd,0.11719533648574385
defrtg,0.11663737489439012
obbs,0.07589777334115724
%pts_offto,0.06472145473669588
pace,0.05154265139251815
%tov,0.02989634015403299
age,0.024600268933178935
%pts_2pt_mr,-0.00040285120259552404
pitp,-0.011112391342349363
dreb,-0.014134408498332413
pf,-0.02498565777084313
%pfd,-0.030001867669203233
fg%,-0.10170456373778167
%fta,-0.10306529602041627
blk,-0.23477138717524096
%pts_ft,-0.2540795429950925
to_ratio,-0.2848481620996569
dreb%,-0.3352437177245373
height,-0.390917539193824
%pf,-0.396356505221295
weight,-0.4148363326448746
%blk,-0.41887858061326605
%reb,-0.452346094359153
oreb%,-0.517510075742152
%fga_2pt,-0.5765917215217002
