,ast/to
ast/to,1.0
%ast,0.6444122307770772
2fgm_%uast,0.37592692106357606
3p%,0.3551599680860284
%pts_3pt,0.35384248312494027
3fgm_%uast,0.3207152173927556
%3pm,0.30152161043938097
ft%,0.25659336413570166
stl%,0.24977075531354836
offrtg,0.2452505848210856
fbps,0.22181072568644145
poss,0.19912086128702614
def_ws,0.1906032715552776
%pts_fbps,0.16573389913143705
+/-,0.16502950667668212
age,0.15955219002027748
netrtg,0.15038205599569482
pie,0.1175419694671276
%pts_2pt_mr,0.08205633699739787
pfd,0.07918912614379399
obbs,0.07597225312827008
defrtg,0.06082892813957326
%pts_offto,0.05170322857977325
ts%,0.021897274944817108
%tov,0.0037869979348839097
pace,-0.00917652029629867
%pts,-0.028814898670280257
pitp,-0.03258585129572794
%pfd,-0.057451530793399305
dreb,-0.060858171048730224
pf,-0.07949824529296995
fg%,-0.15434455862051186
%fta,-0.15644422638817584
%pts_ft,-0.1772732277648195
blk,-0.2421405062843285
to_ratio,-0.3300033800243119
%fga_2pt,-0.335936352925241
dreb%,-0.35138893283113815
%pf,-0.38559564241627736
%blk,-0.3980018521924931
%reb,-0.4433691388794819
oreb%,-0.4621853930276379
weight,-0.49730046498939323
height,-0.5466008435447485
