,dreb%
dreb%,1.0
%reb,0.9311694940549754
height,0.6369866205247738
oreb%,0.6258513694967814
weight,0.6226102383749671
dreb,0.612562059930389
%blk,0.5526594504767746
blk,0.48494821274951594
%fga_2pt,0.404523791639611
fg%,0.3316201955175262
pitp,0.3100374499459955
%pf,0.3010765226910924
pf,0.26697322262195905
pie,0.2524659696933633
%fta,0.2498929571693117
%pfd,0.2107927813935283
pfd,0.1612167926267997
to_ratio,0.14473845470337884
ts%,0.13397253032325987
%pts_ft,0.09887779283301151
netrtg,0.07381919060860617
+/-,0.06509211286154191
def_ws,0.06308085055418343
%pts,0.03701331446163268
offrtg,0.03358421368295219
pace,0.02328464626930535
poss,0.02044732692820638
%tov,0.015454379658489729
age,0.0036014068306564426
obbs,0.0013511997194514042
defrtg,-0.06660181824090382
stl%,-0.14121712845430576
%pts_2pt_mr,-0.14630431813325534
%pts_offto,-0.1484035687345614
ft%,-0.1758793496597953
fbps,-0.2025078388679019
3fgm_%uast,-0.2565222916869877
2fgm_%uast,-0.3081099876370181
3p%,-0.3352437177245373
%pts_fbps,-0.3418849973869366
%ast,-0.3434611585488657
ast/to,-0.35138893283113815
%pts_3pt,-0.39829999429835633
%3pm,-0.4485531313267241
