,dreb
dreb,1.0
pitp,0.7670058183558175
pf,0.6698276296289231
blk,0.6458690930601575
poss,0.6410142329040747
dreb%,0.612562059930389
pfd,0.548482524223486
def_ws,0.533762788393604
%reb,0.5271918506729937
%fta,0.39981911418579213
pie,0.39382503128557295
%pts,0.3765573335425161
weight,0.3674998329965053
height,0.35991545971873246
fg%,0.35364755612404464
offrtg,0.3469741568615985
fbps,0.33518198463278387
ts%,0.3097063238119436
%blk,0.30242696535453034
oreb%,0.2996360732011174
%pfd,0.25919656905730587
+/-,0.24864324390530526
%fga_2pt,0.23456870088545712
netrtg,0.22297498153890447
%tov,0.18032120172126026
ft%,0.14147904500032246
defrtg,0.07164456892570849
obbs,0.054087353177110165
%pts_ft,0.050178455895717636
age,0.04747297017289382
3fgm_%uast,-0.0006434443514323619
stl%,-0.006603417920737419
3p%,-0.014134408498332413
%ast,-0.030435425895988834
%pts_2pt_mr,-0.03340671815112197
2fgm_%uast,-0.053546831470310016
ast/to,-0.060858171048730224
to_ratio,-0.0630051019700249
%pts_offto,-0.10648637508063126
%pf,-0.1204809126578773
pace,-0.12648128067969724
%3pm,-0.1396140408655436
%pts_fbps,-0.1513219394299572
%pts_3pt,-0.20885233714069215
