,ft%
ft%,1.0
3p%,0.3469135132486859
%pts,0.3436471019989704
poss,0.3418726234556259
ts%,0.337513664241119
%3pm,0.3254088910623546
fbps,0.31530200662742747
offrtg,0.29867496127176063
ast/to,0.25659336413570166
def_ws,0.23457951435160182
pie,0.2338583237020065
%pts_3pt,0.22807789855001748
pfd,0.21524628352198358
2fgm_%uast,0.21361784141669293
%ast,0.21024297794790844
3fgm_%uast,0.2001653229024724
%fta,0.19267032488245786
pf,0.18703899528535115
netrtg,0.17115146046991783
pitp,0.15049312388845024
dreb,0.14147904500032246
+/-,0.12524254942264867
%pts_2pt_mr,0.12036685327441761
%pts_fbps,0.1094748593484749
stl%,0.0991547808276491
%pfd,0.09783795395498271
defrtg,0.09095183049350873
%tov,0.08626305052496108
age,0.08604515622348088
%pts_ft,0.045998776572219374
fg%,0.039373209347148365
obbs,0.033962480831120315
%pts_offto,0.03311949935489425
blk,-0.05626093220966062
pace,-0.12792435569970856
dreb%,-0.1758793496597953
%fga_2pt,-0.19585144178491923
to_ratio,-0.21330407988265723
%blk,-0.22185440398864095
weight,-0.2246220712692205
height,-0.228148303807599
%reb,-0.24150558531851662
oreb%,-0.2650283689095945
%pf,-0.2799599136263054
