,height
height,1.0
weight,0.8186233611714018
%reb,0.7090714718892281
%blk,0.6479157071357431
dreb%,0.6369866205247738
oreb%,0.6367996045617106
blk,0.5054983806190787
%pf,0.4244472352241621
%fga_2pt,0.4134188753464067
dreb,0.35991545971873246
fg%,0.3033029020530901
pf,0.23531870930377513
pitp,0.16540057928426455
%fta,0.1551128010873695
to_ratio,0.15263974775585934
ts%,0.09351571552035969
%pts_ft,0.09094545183367601
%pfd,0.07421155847946984
pie,0.01651533397194074
+/-,0.0011799344239631908
pfd,-0.0003062969995714597
obbs,-0.00566409455174145
netrtg,-0.012768119492041598
age,-0.015614570394925848
pace,-0.03635951730124983
defrtg,-0.04026084127541512
def_ws,-0.04490578831615713
offrtg,-0.05249194166653561
%pts,-0.0573176442579729
poss,-0.07041920588400609
%pts_2pt_mr,-0.09889119456614363
%pts_offto,-0.150184953182374
%tov,-0.17035610648353217
ft%,-0.228148303807599
stl%,-0.3135203144987871
fbps,-0.31511014636791856
%pts_fbps,-0.37168944465730547
3p%,-0.390917539193824
%pts_3pt,-0.4050374596970858
3fgm_%uast,-0.448653738452889
%3pm,-0.4563486877335827
2fgm_%uast,-0.5430627695272907
ast/to,-0.5466008435447485
%ast,-0.6428507495114635
