,netrtg
netrtg,1.0
offrtg,0.7092704517409871
+/-,0.6913761125374778
def_ws,0.540290211681953
ts%,0.3461198757389289
pie,0.31650121943182263
fg%,0.2658214893320109
obbs,0.2632935080258491
poss,0.2595070364511494
dreb,0.22297498153890447
pitp,0.19714921687012874
fbps,0.18612076152623108
pf,0.18559290484586224
ft%,0.17115146046991783
pfd,0.15834573063575003
ast/to,0.15038205599569482
blk,0.14201294678209256
3p%,0.13303033687669172
%pts,0.12004187663511699
age,0.1169512898197281
stl%,0.09420717137458041
%pts_offto,0.07890298128234075
dreb%,0.07381919060860617
%3pm,0.07262273207755929
%pts_3pt,0.06875605266994306
%ast,0.05450636959399548
%fta,0.05409442263965576
%pts_fbps,0.04587212905370476
3fgm_%uast,0.04031985204217962
oreb%,0.036892745065612256
2fgm_%uast,0.03468288801655372
%pfd,0.031234453741140325
%reb,0.029177206629172846
%blk,0.013656540655678047
weight,0.007530603966095314
%tov,-0.0013677941114027229
%fga_2pt,-0.007525189941313259
height,-0.012768119492041598
%pts_2pt_mr,-0.03198204769678919
pace,-0.06868101074242558
%pf,-0.09769023791861661
%pts_ft,-0.12969294887091268
to_ratio,-0.1802858291855683
defrtg,-0.6205043773196784
