,pitp
pitp,1.0
dreb,0.7670058183558175
pfd,0.6756828436140332
poss,0.6415524022316034
%pts,0.6186371942257857
pf,0.6027413157778408
%fta,0.5851092132683685
fbps,0.5643187041562943
blk,0.5266995379236653
def_ws,0.4645110678276438
fg%,0.42749489931731594
pie,0.4133593418296975
%pfd,0.3964125816121152
offrtg,0.3674693110242541
%tov,0.3528622654236076
ts%,0.350835418643567
%fga_2pt,0.32900918247297484
dreb%,0.3100374499459955
%reb,0.29320475210609775
oreb%,0.22993808539922106
+/-,0.21773229454906667
weight,0.21512742658339795
netrtg,0.19714921687012874
%blk,0.1936494059442315
height,0.16540057928426455
3fgm_%uast,0.158587698897121
ft%,0.15049312388845024
2fgm_%uast,0.13472761692313023
defrtg,0.13078360392243538
%ast,0.1277172048588037
%pts_ft,0.097141977721523
stl%,0.03887214702694566
obbs,0.037592956515495664
%pts_fbps,-0.0036250648140275453
3p%,-0.011112391342349363
ast/to,-0.03258585129572794
%pts_offto,-0.05092785607499008
pace,-0.07654000333897114
to_ratio,-0.0870060362069324
%pts_2pt_mr,-0.09690849730865853
age,-0.10284560944897206
%3pm,-0.15543487600068379
%pf,-0.1736924760036932
%pts_3pt,-0.32217897968385895
