,#,team,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,"ast
ratio",oreb%,dreb%,reb%,tov%,efg%,ts%,pace,pie,poss,season
0,1,Los Angeles Lakers,82,67,15,3961.0,105.4,96.4,9.0,61.2,1.68,17.4,32.4,70.5,51.8,14.6,48.4,52.5,95.04,57.3,"7,840",'99-00
1,2,Portland Trail Blazers,82,59,23,3956.0,106.5,99.5,6.9,63.7,1.55,18.2,33.5,69.3,52.3,16.6,50.1,54.6,91.03,55.9,"7,505",'99-00
2,3,Indiana Pacers,82,56,26,3946.0,106.8,101.7,5.1,60.9,1.60,17.5,27.6,69.1,49.2,14.9,50.3,55.2,94.70,53.4,"7,777",'99-00
3,4,Utah Jazz,82,55,27,3951.0,105.7,101.1,4.6,68.9,1.67,19.1,32.9,69.8,51.6,16.3,49.0,54.0,90.84,55.1,"7,488",'99-00
4,5,Phoenix Suns,82,53,29,3961.0,102.7,97.3,5.4,67.8,1.53,18.8,31.6,67.6,50.0,17.3,49.1,53.2,95.67,54.2,"7,895",'99-00
5,5,San Antonio Spurs,82,53,29,3971.0,103.5,97.1,6.4,61.6,1.48,17.3,30.1,70.3,51.2,16.2,48.8,53.5,92.11,55.6,"7,620",'99-00
6,7,Miami Heat,82,52,30,3966.0,102.5,99.4,3.1,64.9,1.57,18.3,30.4,69.6,50.8,16.3,49.5,53.3,91.22,54.3,"7,548",'99-00
7,8,Minnesota Timberwolves,82,50,32,3981.0,104.2,101.7,2.5,68.4,1.94,19.8,31.8,69.6,50.7,14.7,48.5,52.5,93.37,53.1,"7,751",'99-00
8,8,New York Knicks,82,50,32,3966.0,100.9,99.5,1.5,54.8,1.32,15.8,27.7,69.9,49.6,16.0,48.2,52.7,90.54,50.7,"7,485",'99-00
9,10,Charlotte Hornets,82,49,33,3956.0,102.5,99.7,2.8,68.9,1.68,18.4,28.3,71.2,50.1,15.3,47.5,53.0,95.58,54.1,"7,876",'99-00
10,10,Philadelphia 76ers,82,49,33,3966.0,99.9,98.3,1.5,60.7,1.42,16.6,33.5,68.0,50.4,16.5,45.7,50.1,94.25,50.8,"7,782",'99-00
11,12,Seattle SuperSonics,82,45,37,3956.0,104.0,103.1,1.0,60.4,1.63,17.2,31.2,67.3,49.1,14.8,48.7,52.0,94.74,49.6,"7,809",'99-00
