,#,team,gp,w,l,min,def rtg,dreb,dreb%,stl,blk,"opp pts
off tov","opp pts
2nd chance","opp pts
fb","opp pts
paint",season
0,1,Los Angeles Lakers,82,67,15,48.3,96.4,33.4,70.5,7.5,6.5,14.3,13.2,12.4,34.8,'99-00
1,2,Portland Trail Blazers,82,59,23,48.2,99.5,31.2,69.3,7.7,4.8,15.2,13.9,12.3,35.0,'99-00
2,3,Indiana Pacers,82,56,26,48.1,101.7,31.9,69.1,6.8,5.1,15.0,13.5,14.6,42.0,'99-00
3,4,Utah Jazz,82,55,27,48.2,101.1,29.6,69.8,7.7,5.4,15.7,12.3,10.3,32.6,'99-00
4,5,Phoenix Suns,82,53,29,48.3,97.3,31.2,67.6,9.1,5.3,17.4,14.1,12.0,36.0,'99-00
5,5,San Antonio Spurs,82,53,29,48.4,97.1,32.5,70.3,7.5,6.7,15.5,13.3,11.8,35.3,'99-00
6,7,Miami Heat,82,52,30,48.4,99.4,31.9,69.6,7.1,6.4,16.0,12.7,11.7,34.1,'99-00
7,8,Minnesota Timberwolves,82,50,32,48.5,101.7,30.1,69.6,7.6,5.4,14.8,13.2,13.3,38.5,'99-00
8,8,New York Knicks,82,50,32,48.4,99.5,30.7,69.9,6.3,4.3,15.9,12.4,10.5,31.8,'99-00
9,10,Charlotte Hornets,82,49,33,48.2,99.7,32.1,71.2,8.9,5.9,15.9,13.4,14.0,39.8,'99-00
10,10,Philadelphia 76ers,82,49,33,48.4,98.3,30.1,68.0,9.6,4.7,15.1,12.7,12.7,37.2,'99-00
11,12,Seattle SuperSonics,82,45,37,48.2,103.1,30.3,67.3,8.0,4.2,14.8,15.0,13.2,40.3,'99-00
12,12,Toronto Raptors,82,45,37,48.2,102.8,29.9,68.6,8.1,6.6,14.9,13.4,18.1,40.0,'99-00
13,14,Sacramento Kings,82,44,38,48.3,100.7,32.1,67.9,9.6,4.6,18.3,14.2,17.0,42.2,'99-00
14,15,Detroit Pistons,82,42,40,48.4,103.8,30.0,69.4,8.1,3.3,17.4,14.3,12.7,37.0,'99-00
15,15,Milwaukee Bucks,82,42,40,48.4,106.2,28.9,66.7,8.2,4.6,16.8,14.3,14.2,37.0,'99-00
16,17,Orlando Magic,82,41,41,48.2,100.3,31.0,66.9,9.1,5.7,18.3,14.5,14.6,39.8,'99-00
17,18,Dallas Mavericks,82,40,42,48.1,105.2,29.8,64.7,7.2,5.1,15.5,16.8,15.2,42.9,'99-00
18,19,Boston Celtics,82,35,47,48.1,103.9,29.5,70.5,9.7,3.5,16.8,12.5,13.8,39.1,'99-00
19,19,Denver Nuggets,82,35,47,48.4,104.5,31.6,68.8,6.8,7.5,17.8,14.2,15.2,42.2,'99-00
