,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
0,1,Los Angeles Lakers,82,67,15,48.3,16.6,15.2,11.7,47.6,14.3,13.2,12.4,34.8,'99-00
1,2,Portland Trail Blazers,82,59,23,48.2,15.6,14.0,13.4,39.9,15.2,13.9,12.3,35.0,'99-00
2,3,Indiana Pacers,82,56,26,48.1,15.2,11.6,13.6,35.5,15.0,13.5,14.6,42.0,'99-00
3,4,Utah Jazz,82,55,27,48.2,16.8,13.0,11.0,36.3,15.7,12.3,10.3,32.6,'99-00
4,5,Phoenix Suns,82,53,29,48.3,18.6,13.8,14.2,42.1,17.4,14.1,12.0,36.0,'99-00
5,5,San Antonio Spurs,82,53,29,48.4,15.5,12.7,13.0,39.2,15.5,13.3,11.8,35.3,'99-00
6,7,Miami Heat,82,52,30,48.4,15.1,12.2,12.6,37.2,16.0,12.7,11.7,34.1,'99-00
7,8,Minnesota Timberwolves,82,50,32,48.5,16.2,14.1,15.2,35.5,14.8,13.2,13.3,38.5,'99-00
8,8,New York Knicks,82,50,32,48.4,15.2,10.3,8.3,34.4,15.9,12.4,10.5,31.8,'99-00
9,10,Charlotte Hornets,82,49,33,48.2,17.5,12.9,15.0,38.5,15.9,13.4,14.0,39.8,'99-00
10,10,Philadelphia 76ers,82,49,33,48.4,18.9,15.3,16.4,43.6,15.1,12.7,12.7,37.2,'99-00
11,12,Seattle SuperSonics,82,45,37,48.2,16.4,15.5,15.7,41.9,14.8,15.0,13.2,40.3,'99-00
12,12,Toronto Raptors,82,45,37,48.2,16.3,14.2,17.7,31.4,14.9,13.4,18.1,40.0,'99-00
13,14,Sacramento Kings,82,44,38,48.3,19.1,14.6,16.5,45.3,18.3,14.2,17.0,42.2,'99-00
14,15,Detroit Pistons,82,42,40,48.4,18.5,12.1,16.5,38.7,17.4,14.3,12.7,37.0,'99-00
15,15,Milwaukee Bucks,82,42,40,48.4,17.9,13.6,14.9,34.6,16.8,14.3,14.2,37.0,'99-00
16,17,Orlando Magic,82,41,41,48.2,20.3,15.8,19.8,41.7,18.3,14.5,14.6,39.8,'99-00
17,18,Dallas Mavericks,82,40,42,48.1,17.9,12.7,15.7,37.0,15.5,16.8,15.2,42.9,'99-00
18,19,Boston Celtics,82,35,47,48.1,18.3,15.8,12.9,42.6,16.8,12.5,13.8,39.1,'99-00
19,19,Denver Nuggets,82,35,47,48.4,15.8,15.1,15.1,41.1,17.8,14.2,15.2,42.2,'99-00
20,21,Houston Rockets,82,34,48,48.4,15.6,13.9,15.2,43.5,19.0,14.3,14.5,42.3,'99-00
21,22,Cleveland Cavaliers,82,32,50,48.4,17.7,13.9,16.9,40.5,19.5,14.5,13.2,37.7,'99-00
22,23,New Jersey Nets,82,31,51,48.4,19.0,13.0,12.1,36.2,14.8,15.3,15.6,43.0,'99-00
23,24,Washington Wizards,82,29,53,48.3,16.0,14.6,11.1,39.3,17.7,13.1,14.5,39.6,'99-00
24,25,Atlanta Hawks,82,28,54,48.4,13.1,15.9,13.9,37.2,17.7,13.8,17.0,42.1,'99-00
25,26,Vancouver Grizzlies,82,22,60,48.4,16.1,13.8,12.9,40.7,19.0,13.9,16.5,43.7,'99-00
26,27,Golden State Warriors,82,19,63,48.2,17.2,16.9,15.5,41.9,16.7,15.4,15.3,43.5,'99-00
27,28,Chicago Bulls,82,17,65,48.3,14.6,12.6,7.4,35.1,21.0,12.9,13.4,39.1,'99-00
28,29,Los Angeles Clippers,82,15,67,48.1,14.1,12.8,10.8,39.1,18.7,15.0,15.6,48.8,'99-00
0,1,San Antonio Spurs,82,58,24,48.4,15.6,12.4,11.3,36.6,14.8,12.0,12.3,34.0,'00-01
1,2,Los Angeles Lakers,82,56,26,48.5,14.9,15.3,9.7,44.3,16.0,13.5,12.8,37.9,'00-01
2,2,Philadelphia 76ers,82,56,26,48.4,17.7,14.6,16.1,41.8,16.2,12.6,13.5,36.6,'00-01
3,4,Sacramento Kings,82,55,27,49.0,18.0,14.0,16.5,43.8,16.1,13.5,13.9,39.4,'00-01
4,5,Dallas Mavericks,82,53,29,48.3,16.7,11.3,15.3,39.2,15.4,14.2,13.3,40.9,'00-01
5,5,Utah Jazz,82,53,29,48.2,17.4,12.7,11.5,42.4,15.9,12.5,10.8,32.1,'00-01
6,7,Milwaukee Bucks,82,52,30,48.2,17.0,12.4,14.6,33.5,14.9,14.5,12.2,36.9,'00-01
7,8,Phoenix Suns,82,51,31,48.3,18.6,12.9,14.2,37.3,16.1,12.6,13.1,36.3,'00-01
8,9,Miami Heat,82,50,32,48.5,16.9,10.9,10.0,32.2,14.4,12.2,10.0,35.8,'00-01
9,9,Portland Trail Blazers,82,50,32,48.2,16.5,14.1,12.3,39.5,15.7,12.6,11.2,36.4,'00-01
10,11,New York Knicks,82,48,34,48.5,15.6,10.8,7.4,33.6,15.4,10.7,7.3,30.2,'00-01
11,12,Minnesota Timberwolves,82,47,35,48.4,16.9,14.6,15.1,35.7,15.5,13.3,12.6,41.0,'00-01
12,12,Toronto Raptors,82,47,35,48.7,15.2,15.5,16.6,34.7,14.3,13.6,17.0,39.6,'00-01
13,14,Charlotte Hornets,82,46,36,48.5,15.4,13.5,13.5,34.0,15.6,12.9,10.5,35.4,'00-01
14,15,Houston Rockets,82,45,37,48.4,14.6,13.2,10.9,39.8,16.1,14.1,11.7,38.2,'00-01
15,16,Seattle SuperSonics,82,44,38,48.3,17.6,14.1,15.0,46.1,17.0,13.9,14.4,39.6,'00-01
16,17,Orlando Magic,82,43,39,48.7,18.5,14.3,15.0,36.4,16.1,14.5,13.3,37.0,'00-01
17,18,Indiana Pacers,82,41,41,48.7,14.4,12.0,11.1,33.3,15.5,13.3,12.8,34.2,'00-01
18,19,Denver Nuggets,82,40,42,48.2,14.7,13.4,15.2,39.0,15.2,13.9,15.0,41.9,'00-01
19,20,Boston Celtics,82,36,46,48.4,18.0,12.3,10.2,35.6,17.0,13.0,13.4,35.9,'00-01
20,21,Detroit Pistons,82,32,50,48.4,16.7,14.9,15.4,34.9,16.4,13.4,13.6,35.4,'00-01
21,22,Los Angeles Clippers,82,31,51,48.9,14.0,13.2,11.4,42.8,16.7,13.6,10.8,41.6,'00-01
22,23,Cleveland Cavaliers,82,30,52,48.4,16.0,14.1,13.1,39.9,18.5,13.8,14.6,36.6,'00-01
23,24,New Jersey Nets,82,26,56,48.1,16.9,11.8,11.8,38.3,16.2,14.1,13.8,37.2,'00-01
24,25,Atlanta Hawks,82,25,57,48.1,15.3,13.7,11.0,36.2,18.6,13.0,13.1,36.8,'00-01
25,26,Vancouver Grizzlies,82,23,59,48.2,15.1,11.3,11.8,33.1,18.0,14.6,14.4,42.4,'00-01
26,27,Washington Wizards,82,19,63,48.0,15.8,14.1,12.7,37.9,19.8,13.3,14.5,42.0,'00-01
27,28,Golden State Warriors,82,17,65,48.2,17.6,16.3,13.8,39.9,18.2,13.7,15.2,44.9,'00-01
28,29,Chicago Bulls,82,15,67,48.4,15.5,12.7,10.3,34.3,17.9,13.5,11.6,40.0,'00-01
0,1,Sacramento Kings,82,61,21,48.2,17.5,14.7,17.0,43.3,14.4,14.5,12.8,41.5,'01-02
1,2,Los Angeles Lakers,82,58,24,48.2,15.5,14.9,10.7,43.6,13.7,14.6,10.7,37.0,'01-02
2,2,San Antonio Spurs,82,58,24,48.4,17.0,13.4,11.6,41.3,15.1,13.9,12.5,37.3,'01-02
3,4,Dallas Mavericks,82,57,25,48.5,16.0,12.7,16.0,39.6,14.2,15.1,13.6,43.5,'01-02
4,5,New Jersey Nets,82,52,30,48.4,17.4,14.0,17.4,42.7,14.6,13.0,10.8,35.3,'01-02
5,6,Detroit Pistons,82,50,32,48.0,16.9,12.2,12.0,34.6,16.0,13.2,11.2,36.0,'01-02
6,6,Minnesota Timberwolves,82,50,32,48.3,15.1,15.5,12.9,38.2,15.4,13.8,11.7,38.0,'01-02
7,8,Boston Celtics,82,49,33,48.4,16.8,12.2,12.5,35.4,14.9,13.6,12.6,30.9,'01-02
8,8,Portland Trail Blazers,82,49,33,48.4,17.1,14.9,13.0,38.3,15.3,12.6,12.6,36.8,'01-02
9,10,Seattle SuperSonics,82,45,37,48.4,17.7,13.4,12.1,41.9,15.3,14.7,13.1,38.5,'01-02
10,11,Charlotte Hornets,82,44,38,48.2,15.2,13.8,12.7,37.8,14.7,14.3,12.3,36.4,'01-02
11,11,Orlando Magic,82,44,38,48.4,17.3,13.3,15.0,38.0,14.6,14.9,14.7,42.0,'01-02
12,11,Utah Jazz,82,44,38,48.4,18.8,15.3,12.5,40.3,17.2,12.8,11.9,35.0,'01-02
13,14,Philadelphia 76ers,82,43,39,48.1,16.1,14.6,13.7,39.0,15.4,11.9,13.4,33.3,'01-02
14,15,Indiana Pacers,82,42,40,48.5,15.4,14.1,15.7,37.1,15.5,14.7,13.8,39.1,'01-02
15,15,Toronto Raptors,82,42,40,48.2,15.6,15.2,16.5,35.4,15.3,13.5,16.2,35.4,'01-02
16,17,Milwaukee Bucks,82,41,41,48.5,14.4,11.9,12.3,33.0,15.9,13.9,12.0,37.0,'01-02
