,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
0,A.C. Green,LAL,36,205.74,225.0,Oregon State,USA,1985,1,23,82.0,5.0,5.9,1.0,8.3,8.0,16.0,11.0,48.2,5.8,'99-00
1,A.J. Bramlett,CLE,23,208.28,227.0,Arizona,USA,1999,2,39,8.0,1.0,2.8,0.0,-30.7,14.1,18.9,14.1,19.0,0.0,'99-00
2,Aaron McKie,PHI,27,195.58,209.0,Temple,USA,1994,1,17,82.0,8.0,3.0,2.9,1.5,2.3,10.1,16.8,49.7,20.2,'99-00
3,Aaron Williams,WAS,28,205.74,225.0,Xavier,USA,Undrafted,Undrafted,Undrafted,81.0,7.6,5.0,0.7,1.7,10.6,16.2,17.5,57.2,6.2,'99-00
4,Adam Keefe,UTA,30,205.74,230.0,Stanford,USA,1992,1,10,62.0,2.2,2.2,0.5,-3.4,8.4,16.5,14.4,46.3,9.3,'99-00
5,Adonal Foyle,GSW,25,208.28,250.0,Colgate,St. Vincent & Grenadines,1997,1,8,76.0,5.5,5.6,0.6,-9.4,9.4,14.6,12.5,50.0,4.0,'99-00
6,Adrian Griffin,BOS,25,195.58,215.0,Seton Hall,USA,Undrafted,Undrafted,Undrafted,72.0,6.7,5.2,2.5,-0.2,6.3,14.0,12.7,50.3,13.5,'99-00
7,Al Harrington,IND,20,205.74,254.0,None,USA,1998,1,25,50.0,6.6,3.2,0.8,6.4,5.8,13.3,19.7,52.4,7.3,'99-00
8,Alan Henderson,ATL,27,205.74,235.0,Indiana,USA,1995,1,16,82.0,13.2,7.0,0.9,-6.8,9.4,10.9,19.2,50.3,4.5,'99-00
9,Aleksandar Radojevic,TOR,23,220.98,245.0,None,Bosnia and Herzegovina,1999,1,12,3.0,2.3,2.7,0.3,-17.0,5.3,23.1,22.7,36.3,7.7,'99-00
10,Allan Houston,NYK,29,198.12,200.0,Tennessee,USA,1993,1,11,82.0,19.7,3.3,2.7,2.3,1.3,7.4,23.3,56.9,13.0,'99-00
11,Allen Iverson,PHI,25,182.88,165.0,Georgetown,USA,1996,1,1,70.0,28.4,3.8,4.7,2.0,2.4,7.0,33.4,49.6,22.0,'99-00
12,Alonzo Mourning,MIA,30,208.28,261.0,Georgetown,USA,1992,1,2,79.0,21.7,9.5,1.6,5.1,8.4,18.9,27.9,59.6,8.6,'99-00
13,Alvin Williams,TOR,25,195.58,185.0,Villanova,USA,1997,2,47,55.0,5.3,1.5,2.3,-4.7,3.1,7.3,19.3,46.3,25.8,'99-00
14,Andrae Patterson,MIN,24,205.74,238.0,Indiana,USA,1998,2,46,5.0,1.2,0.4,0.2,0.0,4.5,5.9,9.4,75.0,6.3,'99-00
15,Andre Miller,CLE,24,187.96,203.0,Utah,USA,1999,1,8,82.0,11.1,3.4,5.8,-1.9,4.1,9.2,21.8,51.7,38.6,'99-00
16,Andrew DeClercq,CLE,27,208.28,230.0,Florida,USA,1995,2,34,82.0,6.6,5.4,0.7,-3.1,8.5,15.2,14.6,53.0,5.0,'99-00
17,Andrew Lang,NYK,34,210.82,275.0,Arkansas,USA,1988,2,28,19.0,3.1,3.2,0.2,0.6,6.9,17.6,13.6,44.0,2.1,'99-00
18,Anfernee Hardaway,PHX,28,200.66,215.0,Memphis,USA,1993,1,3,60.0,16.9,5.8,5.3,8.5,4.2,10.7,20.9,54.9,23.0,'99-00
19,Antawn Jamison,GSW,24,205.74,223.0,North Carolina,USA,1998,1,4,43.0,19.6,8.3,2.1,-7.9,9.6,11.8,25.2,49.6,10.2,'99-00
20,Anthony Avent,LAC,30,205.74,240.0,Seton Hall,USA,1991,1,15,49.0,1.7,1.5,0.2,-8.6,5.6,13.9,15.2,36.8,4.6,'99-00
21,Anthony Carter,MIA,25,185.42,190.0,Hawaii,USA,Undrafted,Undrafted,Undrafted,79.0,6.3,2.5,4.8,0.4,2.8,8.0,18.0,44.2,32.1,'99-00
22,Anthony Johnson,ORL,25,190.5,190.0,College of Charleston,USA,1997,2,39,56.0,2.8,0.9,1.3,-1.4,3.2,4.6,13.9,42.5,16.7,'99-00
23,Anthony Mason,CHH,33,203.2,270.0,Tennessee State,USA,1988,3,53,82.0,11.6,8.5,4.5,3.0,4.8,17.7,14.4,56.0,18.4,'99-00
24,Anthony Miller,HOU,28,205.74,255.0,Michigan State,USA,1994,2,39,35.0,3.7,4.7,0.5,8.0,9.9,21.9,12.3,54.4,5.0,'99-00
25,Anthony Parker,ORL,25,198.12,215.0,Bradley,USA,1997,1,21,16.0,3.6,1.7,0.6,-5.5,2.6,10.4,16.0,46.1,8.3,'99-00
26,Anthony Peeler,MIN,30,193.04,208.0,Missouri,USA,1992,1,15,82.0,9.8,2.8,2.4,-1.9,2.8,8.5,18.3,52.0,15.2,'99-00
27,Antoine Carr,VAN,38,205.74,225.0,Wichita State,USA,1983,1,8,21.0,3.2,1.5,0.3,-19.6,4.2,11.5,16.4,47.7,6.3,'99-00
28,Antoine Walker,BOS,23,205.74,245.0,Kentucky,USA,1996,1,6,82.0,20.5,8.0,3.7,-0.2,6.4,16.3,28.0,49.4,17.8,'99-00
29,Antonio Daniels,SAS,25,193.04,205.0,Bowling Green,USA,1997,1,4,68.0,6.2,1.3,2.6,7.1,1.5,5.8,16.8,54.1,24.7,'99-00
30,Antonio Davis,TOR,31,205.74,230.0,Texas-El Paso,USA,1990,2,45,79.0,11.5,8.8,1.3,1.0,9.4,19.0,17.8,52.0,6.6,'99-00
31,Antonio Harvey,POR,29,210.82,225.0,Pfeiffer,USA,Undrafted,Undrafted,Undrafted,19.0,2.2,1.7,0.3,9.1,7.1,14.3,15.7,58.1,5.7,'99-00
32,Antonio Lang,PHI,28,203.2,205.0,Duke,USA,1994,2,29,10.0,0.6,0.5,0.2,-13.1,0.0,13.9,10.3,36.6,9.1,'99-00
33,Antonio McDyess,DEN,25,205.74,220.0,Alabama,USA,1995,1,2,81.0,19.1,8.5,2.0,-3.6,8.5,16.2,27.0,53.9,10.8,'99-00
