,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
0,A.J. Lawson,DAL,22,198.12,179.0,South Carolina,Canada,Undrafted,Undrafted,Undrafted,12.0,2.0,0.7,0.1,-6.4,1.7,15.2,17.6,56.3,3.3,'22-23
1,AJ Green,MIL,23,195.58,190.0,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,24.0,4.4,1.1,0.5,-10.1,1.7,9.5,16.9,61.8,7.9,'22-23
2,AJ Griffin,ATL,19,198.12,220.0,Duke,USA,2022,1,16,51.0,9.6,2.1,1.1,-0.6,2.1,7.5,17.1,60.3,7.0,'22-23
3,Aaron Gordon,DEN,27,203.2,235.0,Arizona,USA,2014,1,4,48.0,16.9,6.7,2.9,14.2,8.8,14.4,20.9,64.0,12.3,'22-23
4,Aaron Holiday,ATL,26,182.88,185.0,UCLA,USA,2018,1,23,48.0,4.4,1.3,1.4,0.1,2.5,6.1,12.7,53.5,11.7,'22-23
5,Aaron Nesmith,IND,23,195.58,215.0,Vanderbilt,USA,2020,1,14,49.0,9.7,3.7,1.2,-2.8,3.1,11.9,16.8,54.8,6.7,'22-23
6,Aaron Wiggins,OKC,24,195.58,190.0,Maryland,USA,2021,2,55,43.0,6.6,3.3,1.4,3.8,5.3,11.7,13.8,60.7,9.8,'22-23
7,Admiral Schofield,ORL,25,195.58,241.0,Tennessee,United Kingdom,2019,2,42,27.0,4.6,1.9,0.9,-7.1,5.0,10.2,12.9,61.3,9.8,'22-23
8,Al Horford,BOS,36,205.74,240.0,Florida,Dominican Republic,2007,1,3,43.0,9.1,6.1,2.7,8.1,3.9,15.3,11.5,60.2,11.3,'22-23
9,Alec Burks,DET,31,198.12,214.0,Colorado,USA,2011,1,12,43.0,13.0,3.0,2.2,-2.3,1.4,11.9,21.9,60.2,14.9,'22-23
10,Aleksej Pokusevski,OKC,21,213.36,210.0,None,Serbia,2020,1,17,31.0,8.8,5.1,2.0,-12.6,6.0,16.3,17.9,53.0,13.1,'22-23
11,Alex Caruso,CHI,28,195.58,186.0,Texas A&M,USA,Undrafted,Undrafted,Undrafted,46.0,5.6,3.1,3.3,4.6,2.7,10.4,11.0,57.9,17.2,'22-23
12,Alex Len,SAC,29,218.44,250.0,Maryland,Ukraine,2013,1,5,13.0,1.0,1.2,0.4,-9.2,8.5,19.6,13.3,55.3,15.2,'22-23
13,Alize Johnson,SAS,26,203.2,212.0,Missouri State,USA,2018,2,50,4.0,1.8,2.5,0.3,19.0,6.3,21.1,14.5,50.9,4.2,'22-23
