,#,player,team,age,gp,w,l,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,+/-,season,offrtg,defrtg,netrtg,ast%,ast/to,ast ratio,oreb%,dreb%,reb%,to ratio,efg%,ts%,usg%,pace,pie,poss,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",blka,pfd,"%fga
2pt","%fga
3pt","%pts
2pt","%pts
2pt mr","%pts
3pt","%pts
fbps","%pts
ft","%pts
offto","%pts
pitp","2fgm
%ast","2fgm
%uast","3fgm
%ast","3fgm
%uast","fgm
%ast","fgm
%uast",%fgm,%fga,%3pm,%3pa,%ftm,%fta,%oreb,%dreb,%reb,%ast,%tov,%stl,%blk,%blka,%pf,%pfd,%pts,def rtg,stl%,"opp pts
off tov","opp pts
2nd chance","opp pts
fb","opp pts
paint","def
ws","est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
to ratio","est. 
usg%","est. 
pace"
0,1,Luka Doncic,DAL,23,47,28,19,36.5,33.4,11.3,22.3,50.4,2.8,7.8,35.3,8.1,11.1,72.8,0.9,8.0,8.9,8.2,3.6,1.5,0.5,2.8,58.8,26.0,10.0,3.0,'22-23,118.7,115.0,3.7,42.8,2.26,21.2,2.6,22.8,12.7,9.3,56.6,61.3,37.6,96.65,21.3,3457,5.0,2.6,1.6,13.8,11.4,10.4,10.0,36.9,0.7,7.7,65.0,35.0,50.9,9.6,24.9,4.8,24.2,15.0,41.3,10.5,89.5,16.9,83.1,12.1,87.9,36.9,35.8,24.5,25.9,54.1,54.8,15.3,35.1,31.0,50.7,40.7,29.6,18.8,31.8,18.0,45.1,38.2,115.0,29.6,11.4,10.4,10.0,36.9,0.081,117.2,113.2,4.0,21.1,2.9,26.4,14.5,9.3,38.4,98.01
1,2,Joel Embiid,PHI,28,41,26,15,34.8,33.3,11.0,20.8,53.1,1.2,3.3,35.8,10.0,11.7,85.6,1.8,8.2,10.1,4.0,3.7,1.1,1.6,3.2,55.9,26.0,1.0,6.7,'22-23,117.1,108.3,8.8,22.5,1.11,12.1,5.9,23.7,15.3,10.9,55.9,64.1,37.6,98.34,20.9,2931,5.0,3.0,2.4,14.8,10.9,10.0,11.0,33.1,1.6,8.2,84.3,15.7,59.3,14.8,10.5,7.1,30.2,14.9,44.5,63.0,37.0,91.7,8.3,66.0,34.0,38.1,35.4,13.1,14.4,60.0,59.8,34.2,34.8,34.7,21.1,36.9,19.7,48.9,47.4,23.6,53.1,39.8,108.3,19.7,10.9,10.0,11.0,33.1,0.142,116.4,106.5,9.8,12.0,6.5,26.9,17.2,10.9,38.3,99.46
2,3,Giannis Antetokounmpo,MIL,28,43,31,12,33.3,32.2,11.4,21.2,54.1,0.8,3.0,26.7,8.5,13.2,64.6,2.4,10.0,12.4,5.3,4.0,0.8,0.8,3.5,55.8,33.0,3.0,4.4,'22-23,112.8,107.1,5.6,29.9,1.32,14.8,6.8,26.6,17.0,11.2,56.0,59.7,37.6,103.70,20.5,3101,4.4,4.1,5.5,18.8,10.6,9.2,9.4,33.5,1.5,9.5,85.6,14.4,66.0,7.5,7.6,17.2,26.4,13.8,58.5,37.6,62.4,57.1,42.9,39.0,61.0,39.0,34.2,9.0,11.5,62.5,68.1,30.1,37.5,35.8,31.4,40.1,16.3,23.3,55.2,25.8,61.8,39.6,107.1,16.3,10.6,9.2,9.4,33.5,0.151,112.2,107.0,5.2,14.7,7.8,29.3,19.1,11.1,38.5,104.02
3,4,Damian Lillard,POR,32,43,22,21,36.2,30.9,9.3,20.0,46.3,4.0,10.9,36.7,8.4,9.1,91.8,0.6,3.6,4.2,7.3,3.1,0.8,0.3,2.0,47.2,12.0,1.0,3.1,'22-23,120.3,116.7,3.6,32.9,2.38,21.4,1.9,9.9,6.0,9.0,56.3,64.3,31.8,99.58,16.7,3236,4.0,1.9,2.4,8.6,13.1,10.3,11.2,40.4,0.8,6.6,45.5,54.5,34.0,6.3,38.9,7.8,27.1,12.8,27.7,18.1,81.9,54.1,45.9,33.7,66.3,29.4,31.5,37.9,39.2,48.9,43.9,8.9,14.8,13.4,38.9,28.9,17.8,9.7,27.6,12.9,38.3,34.1,116.7,17.8,13.1,10.3,11.2,40.4,0.062,118.8,115.0,3.9,21.2,2.1,11.2,6.8,8.9,32.5,100.96
4,5,Shai Gilgeous-Alexander,OKC,24,50,23,27,35.4,30.8,10.2,20.2,50.6,0.9,2.6,35.6,9.3,10.2,91.2,0.9,3.8,4.7,5.6,2.8,1.7,1.1,2.7,50.3,2.0,0.0,1.7,'22-23,115.5,113.2,2.3,25.3,1.99,17.0,2.3,10.3,6.3,8.6,52.9,62.2,31.7,103.48,17.2,3815,5.1,1.9,3.5,15.2,10.8,11.9,8.1,38.5,1.4,6.9,87.0,13.0,60.5,11.1,9.2,11.3,30.3,16.7,49.4,19.4,80.6,36.2,63.8,20.9,79.1,31.5,29.8,10.9,11.4,64.3,58.7,10.5,16.0,14.6,31.5,29.9,28.4,30.2,35.6,17.4,46.1,34.9,113.2,28.4,10.8,11.9,8.1,38.5,0.097,114.5,112.0,2.5,17.0,2.6,11.7,7.1,8.5,32.4,104.51
5,6,Jayson Tatum,BOS,24,52,37,15,37.3,30.6,9.9,21.5,46.2,3.3,9.3,35.3,7.4,8.6,86.8,1.1,7.6,8.7,4.5,2.8,1.0,0.8,2.2,50.4,22.0,1.0,7.5,'22-23,119.2,109.2,9.9,20.0,1.59,14.0,3.0,19.3,11.5,8.8,53.8,60.5,32.1,100.20,16.7,4048,5.0,2.2,3.8,11.5,11.3,9.8,9.5,36.3,0.8,5.5,56.7,43.3,43.4,5.9,32.3,12.5,24.3,16.5,37.5,50.4,49.6,68.4,31.6,56.4,43.6,30.4,31.9,27.1,29.1,48.3,46.0,15.3,27.4,24.9,22.1,28.8,21.9,17.8,28.3,15.1,35.0,33.0,109.2,21.9,11.3,9.8,9.5,36.3,0.145,118.5,108.4,10.1,13.9,3.3,21.6,12.7,8.7,32.9,100.90
6,7,LeBron James,LAL,38,44,21,23,36.4,30.2,11.6,22.8,50.8,2.2,7.0,31.5,4.8,6.3,76.4,1.2,7.3,8.5,7.0,3.1,1.0,0.5,1.6,52.3,16.0,1.0,2.5,'22-23,114.9,112.2,2.7,31.6,2.24,19.8,3.2,19.4,11.4,8.9,55.6,59.0,32.3,102.93,17.8,3445,3.9,2.6,6.4,15.8,11.8,9.7,11.0,39.0,0.9,5.3,69.3,30.7,62.2,9.9,21.9,21.2,15.9,12.8,52.3,40.4,59.6,63.9,36.1,44.9,55.1,34.3,33.5,26.7,29.1,34.2,34.3,16.5,27.2,25.0,34.6,31.0,19.5,16.7,22.2,11.9,33.1,33.6,112.2,19.5,11.8,9.7,11.0,39.0,0.109,113.6,111.8,1.7,19.7,3.6,21.2,12.7,8.8,33.3,103.69
7,8,Kevin Durant,BKN,34,39,26,13,36.0,29.7,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,0.4,6.4,6.7,5.3,3.5,0.8,1.5,2.4,49.1,5.0,1.0,4.8,'22-23,117.0,111.0,6.1,23.9,1.52,17.4,1.1,16.5,9.6,11.4,60.7,67.3,31.1,99.23,18.6,2905,4.0,1.9,3.1,9.4,13.3,10.9,11.2,35.6,0.5,6.0,74.3,25.7,58.5,26.9,18.4,10.5,23.1,13.5,31.6,45.7,54.3,59.2,40.8,48.0,52.0,32.1,30.1,20.1,21.5,54.0,47.0,7.0,25.4,22.3,26.2,32.9,16.2,26.5,20.0,15.3,43.7,34.1,111.0,16.2,13.3,10.9,11.2,35.6,0.120,116.3,108.4,7.9,17.2,1.2,19.0,10.8,11.3,31.9,100.72
8,9,Stephen Curry,GSW,34,38,20,18,34.5,29.4,9.8,19.8,49.5,4.9,11.4,42.7,5.0,5.4,92.2,0.6,5.8,6.3,6.4,3.2,1.0,0.4,2.2,47.6,11.0,1.0,4.3,'22-23,117.4,112.1,5.3,27.9,2.00,20.5,1.7,15.7,8.9,10.2,61.9,66.5,29.5,105.35,17.2,2886,4.6,2.2,2.9,7.5,13.3,9.8,10.7,36.3,0.7,4.1,42.3,57.7,33.4,7.9,49.6,9.8,17.0,15.6,25.6,38.0,62.0,57.3,42.7,47.6,52.4,29.9,29.8,38.8,36.4,45.0,38.7,8.8,22.9,19.9,28.2,28.8,18.4,13.5,23.8,13.7,31.3,33.0,112.1,18.4,13.3,9.8,10.7,36.3,0.106,116.0,110.7,5.2,20.2,1.9,17.5,10.0,10.1,30.4,106.67
9,10,Ja Morant,MEM,23,45,29,16,32.7,27.4,9.7,20.7,46.8,1.7,5.2,32.9,6.4,8.5,75.1,1.2,4.7,5.8,8.3,3.5,1.0,0.3,1.8,47.2,17.0,5.0,4.6,'22-23,115.5,108.9,6.6,41.8,2.35,23.0,3.3,13.2,8.2,9.8,50.9,56.2,33.9,102.37,17.7,3137,3.8,2.2,4.1,14.7,10.5,10.0,9.2,32.4,1.5,6.5,74.9,25.1,58.1,4.5,18.7,14.9,23.2,14.0,53.6,17.8,82.2,54.5,45.5,24.3,75.7,32.8,33.0,23.9,24.4,44.5,42.8,12.4,19.2,17.3,50.4,36.1,19.3,7.3,41.1,13.4,40.2,34.1,108.9,19.3,10.5,10.0,9.2,32.4,0.130,112.3,107.2,5.2,22.9,3.8,14.8,9.3,9.7,34.4,104.62
