,#,player,team,age,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,ast ratio,oreb%,dreb%,reb%,to ratio,efg%,ts%,usg%,pace,pie,poss,season
0,1,Chris Gatling,DEN,32,85,34,51,21.3,99.4,100.6,-1.3,6.8,0.42,5.9,8.0,18.4,13.1,14.0,46.6,52.5,25.8,99.53,11.7,3749,'99-00
1,2,A.C. Green,LAL,36,82,67,15,23.5,105.3,97.0,8.3,5.8,1.51,14.2,8.0,16.0,12.0,9.4,44.8,48.2,11.0,93.55,8.8,3769,'99-00
2,2,Aaron McKie,PHI,27,82,49,33,23.8,97.5,95.9,1.5,20.2,2.12,23.8,2.3,10.1,6.1,11.2,44.9,49.7,16.8,96.44,9.9,3922,'99-00
3,2,Alan Henderson,ATL,27,82,28,54,33.9,100.0,106.8,-6.8,4.5,0.55,5.9,9.4,10.9,10.1,10.7,46.2,50.3,19.2,93.95,7.9,5436,'99-00
4,2,Allan Houston,NYK,29,82,50,32,38.6,101.4,99.2,2.3,13.0,1.20,12.4,1.3,7.4,4.5,10.3,52.5,56.9,23.3,91.24,11.4,6032,'99-00
5,2,Andre Miller,CLE,24,82,32,50,25.6,99.0,100.9,-1.9,38.6,2.87,31.1,4.1,9.2,6.7,10.8,45.6,51.7,21.8,96.67,13.6,4210,'99-00
6,2,Andrew DeClercq,CLE,27,82,32,50,22.2,96.3,99.4,-3.1,5.0,0.54,8.5,8.5,15.2,11.9,15.9,50.8,53.0,14.6,98.77,7.0,3725,'99-00
7,2,Anthony Mason,CHH,33,82,49,33,38.2,102.5,99.5,3.0,18.4,2.29,26.5,4.8,17.7,11.3,11.6,48.0,56.0,14.4,95.58,11.4,6240,'99-00
8,2,Anthony Peeler,MIN,30,82,50,32,25.3,100.7,102.6,-1.9,15.2,2.29,18.5,2.8,8.5,5.7,8.0,49.4,52.0,18.3,94.76,8.8,4091,'99-00
9,2,Antoine Walker,BOS,23,82,35,47,36.6,104.1,104.3,-0.2,17.8,1.18,13.4,6.4,16.3,11.0,11.4,45.5,49.4,28.0,96.44,11.8,6040,'99-00
10,2,Avery Johnson,SAS,35,82,53,29,31.4,102.8,97.6,5.2,31.9,3.51,31.7,1.4,4.7,3.2,9.0,47.4,50.0,18.9,92.20,10.5,4944,'99-00
11,2,Baron Davis,CHH,21,82,49,33,18.6,99.9,98.3,1.6,33.4,2.21,32.4,3.2,7.7,5.5,14.7,44.9,48.6,18.4,96.54,8.5,3066,'99-00
12,2,Bo Outlaw,ORL,29,82,41,41,28.4,101.7,95.6,6.2,14.8,1.84,31.1,8.5,13.1,10.9,16.9,60.2,59.7,9.8,97.72,11.1,4718,'99-00
13,2,Bryon Russell,UTA,29,82,55,27,35.3,109.2,99.8,9.4,8.7,1.56,12.0,3.8,12.1,8.0,7.7,50.4,55.0,18.3,91.36,9.9,5517,'99-00
14,2,Chris Whitney,WAS,28,82,29,53,19.8,100.0,100.9,-1.0,31.9,2.93,31.1,1.2,7.3,4.2,10.6,50.9,55.4,18.4,95.75,11.6,3231,'99-00
15,2,Christian Laettner,DET,30,82,42,40,29.8,105.0,104.5,0.5,12.1,1.00,14.3,7.4,16.3,11.9,14.3,47.8,53.9,19.9,98.80,9.2,5008,'99-00
16,2,Chucky Atkins,ORL,25,82,41,41,19.9,99.8,100.6,-0.8,31.9,2.15,24.6,1.2,6.3,3.8,11.4,46.2,48.9,23.9,100.42,10.6,3415,'99-00
17,2,Darrell Armstrong,ORL,32,82,41,41,31.6,100.1,99.2,0.9,30.9,2.02,25.5,2.3,7.6,4.9,12.6,49.4,54.2,23.0,100.17,14.3,5409,'99-00
18,2,David Wesley,CHH,29,82,49,33,33.6,101.6,100.3,1.3,28.4,2.91,27.2,1.4,6.6,4.1,9.3,47.2,51.9,19.9,96.11,10.0,5522,'99-00
19,2,Dikembe Mutombo,ATL,34,82,28,54,36.4,101.0,103.8,-2.7,5.4,0.60,10.1,10.2,27.6,19.1,16.7,56.2,62.1,13.9,92.30,14.8,5750,'99-00
20,2,Dirk Nowitzki,DAL,22,82,40,42,35.9,105.0,103.6,1.4,10.7,1.44,12.6,3.4,14.1,8.8,8.8,51.3,56.4,20.8,96.91,11.2,5942,'99-00
21,2,Eric Snow,PHI,27,82,49,33,34.9,99.7,97.5,2.3,32.7,3.86,42.7,1.4,7.7,4.5,11.1,44.0,48.2,12.7,94.55,10.1,5625,'99-00
22,2,Gary Payton,SEA,31,82,45,37,41.8,105.3,102.2,3.0,36.8,3.27,26.0,2.8,12.3,7.5,8.0,50.2,53.5,26.4,94.76,16.6,6769,'99-00
