,feature_importance
netrtg,1.8638574365668545
pf,0.06139691929990486
pitp,0.0313790836394917
def_ws,0.028808889933498713
poss,0.02251200658587764
%pf,0.013155315739772789
obbs,0.005793941670809647
defrtg,0.003054845026270255
%pts_ft,0.0011365180917295179
ts%,0.0011094384545721387
stl%,0.001069400138130039
%tov,0.0010108548661755072
pie,0.0009129382672071233
oreb%,0.0009088387180115953
%pts,0.0008388454194461843
%ast,0.000645807788668525
%pts_offto,0.0005983196229317904
pace,0.0005967104493847038
2fgm_%uast,0.0005966459315924544
ast/to,0.0005869949700315883
%fta,0.0005227509419606887
%blk,0.000506986132705826
dreb%,0.0005019046613218244
ft%,0.0004513222216444161
%pfd,0.00034563631711338473
to_ratio,0.0003191460067398344
age,0.0002990922224586227
%pts_2pt_mr,0.00029082145348978313
fbps,0.00021560608825474576
%pts_fbps,0.00019475909725454136
height,0.00014781872266389124
%3pm,8.366442692201807e-05
3p%,7.694850418659878e-05
3fgm_%uast,3.4625753733585897e-06
