,feature_importance
netrtg,1.759103781673682
poss,0.03717558975546599
pitp,0.026802416517656427
pf,0.023032266104557893
obbs,0.019822681271399887
def_ws,0.016266404790406735
%pf,0.012502086113722851
fbps,0.006803078894091167
defrtg,0.003992385741732215
2fgm_%uast,0.0018277178901029904
dreb%,0.0016546929256285277
ts%,0.0011624227583153254
%ast,0.0011243150345220684
%pts,0.0010030141109770038
%pts_offto,0.0010023185674989388
%pts_2pt_mr,0.000843354445673324
pie,0.0008205585807221934
ast/to,0.0006919844284632437
%pts_ft,0.0006643326561361647
oreb%,0.0006358064703792151
ft%,0.0006178356874371664
age,0.0006115683500401111
%tov,0.0005824134230036729
%3pm,0.0005616728524449647
pace,0.0005388661507432706
3fgm_%uast,0.000503278645005419
%fta,0.000458799271562856
stl%,0.00044412733821128645
%pts_fbps,0.00036185590415550216
to_ratio,0.0003539021778558915
%pfd,0.0003415585282750766
%blk,0.00032612663738638135
height,0.0002832328604118639
3p%,0.00011188914742927084
