,feature_importance
netrtg,1.7213985834996994
pf,0.031063429929714257
poss,0.022419689624334806
def_ws,0.019171094774521634
obbs,0.013752233505182131
pitp,0.012255769635085874
fbps,0.009076746596584381
defrtg,0.007458857322089848
%pf,0.005208733462927506
pie,0.0015060592667051323
pace,0.001085963452163574
%pts_fbps,0.0009076352894524132
ts%,0.0008453690773249867
ft%,0.0006991387167583778
%pts,0.0006722138722540645
2fgm_%uast,0.0006515028268674006
stl%,0.0006259501727612286
oreb%,0.0005757268086887553
to_ratio,0.0005417007209634229
%3pm,0.0005227746582687246
%blk,0.0005002119908064391
%pts_2pt_mr,0.0004884638460535181
%tov,0.00047758043026348377
age,0.00042730177278762864
ast/to,0.00040302554891982203
3p%,0.0004019540151518434
3fgm_%uast,0.0003933266899580364
%ast,0.0003601550241622342
%pts_ft,0.00035426151484149553
%fta,0.00032721537675924897
dreb%,0.00020348123486939226
%pts_offto,0.0001965666775459618
%pfd,0.00019477342689804648
height,4.3095435661277826e-05
