,feature_importance
netrtg,1.7899070319268622
pitp,0.03230593301866607
pf,0.03165272221960471
def_ws,0.0298297204314268
poss,0.02225132851996248
obbs,0.011567816687083192
%pf,0.0063542279363174355
fbps,0.005246868862956122
defrtg,0.0029434348091933646
%pts_offto,0.0017967096401487526
%ast,0.0013900478306449729
%3pm,0.0013437599160922575
%pts,0.001245899043686934
pie,0.001049968696586101
stl%,0.0010239997382490522
2fgm_%uast,0.0010113782137084507
ft%,0.0008752187452022552
%tov,0.00086290370116332
to_ratio,0.0008199174712930968
%fta,0.0007561492954988277
ts%,0.0006700306953211073
pace,0.0006280011107766325
%blk,0.0006134092464962511
%pfd,0.0006117150884745219
ast/to,0.0005735980562152409
oreb%,0.0005184559856538096
height,0.0005143374932347548
3fgm_%uast,0.00045225294118509025
%pts_fbps,0.00045220722258812647
age,0.0004453876960777222
%pts_ft,0.00044032479446243965
dreb%,0.0004394566145800212
3p%,0.00043176441638665596
%pts_2pt_mr,0.00030167747743237904
