,feature_importance
netrtg,1.7850494599691689
pf,0.063842632290433
def_ws,0.026472340323889197
poss,0.01574691231654731
fbps,0.010489911415285795
%pf,0.00993512423651272
obbs,0.00974546672757087
pitp,0.007852811377421675
defrtg,0.00349436506134337
ts%,0.0026957773667063423
%pts_fbps,0.0014521064058819033
stl%,0.0014016817622441594
%pts,0.0011142090495488124
3p%,0.0009676736181145173
%pts_offto,0.0008872778769844196
to_ratio,0.0008741218388457539
ast/to,0.0006782523417435423
ft%,0.0006369818279418553
pace,0.0006120358842379455
oreb%,0.0006030959028024012
%pts_2pt_mr,0.0005539635739880218
%tov,0.0005443187437632354
dreb%,0.0004910710672642852
%pts_ft,0.00047920038701459257
%3pm,0.00043206546763136324
%pfd,0.00042041225785368247
pie,0.00036758259779969086
%ast,0.0003347182837720323
%blk,0.0003166578933764893
3fgm_%uast,0.000298033717726461
2fgm_%uast,0.0002879713664548422
age,0.00028213005219118736
%fta,0.0002590509972737835
height,9.26352754120637e-05
