,%fta
%fta,1.0
%pts,0.6325488741165274
%pfd,0.6197055683622849
pitp,0.5851092132683685
pfd,0.571189169055601
%pts_ft,0.4835449098740162
dreb,0.39981911418579213
%tov,0.39503833737267835
%fga_2pt,0.3550622485654881
fbps,0.34698675022975733
pie,0.31027606078707715
pf,0.29004277554107694
blk,0.2896271293647175
poss,0.26313371890108384
%reb,0.26110024654990716
fg%,0.2521663842918712
dreb%,0.2498929571693117
ts%,0.24854791605788873
oreb%,0.2307518900177431
weight,0.19998431617198612
%blk,0.19889373447137154
ft%,0.19267032488245786
def_ws,0.19218636294610258
3fgm_%uast,0.17062552144034776
height,0.1551128010873695
2fgm_%uast,0.13998802610141442
offrtg,0.10352263101349955
+/-,0.09458292346312708
%ast,0.0820968535075537
netrtg,0.05409442263965576
defrtg,0.038928879135479565
to_ratio,0.024163401274441665
%pf,0.021583446535128916
stl%,0.01657690902147615
obbs,0.013268041722013965
%pts_fbps,-0.016235389219244504
%pts_offto,-0.022497555098116892
pace,-0.052587751816741385
%pts_2pt_mr,-0.08880419896223489
3p%,-0.10306529602041627
age,-0.11957290574314096
ast/to,-0.15644422638817584
%3pm,-0.16853784196640603
%pts_3pt,-0.37690534365533895
