,%pfd
%pfd,1.0
pfd,0.7812705971753504
%fta,0.6197055683622849
pitp,0.3964125816121152
%pts,0.3893645900601272
%tov,0.2876921036877579
dreb,0.25919656905730587
%pts_ft,0.2574438731025565
ts%,0.23727079408063234
fg%,0.22593089190963972
pie,0.21217110676900305
dreb%,0.2107927813935283
offrtg,0.19198897109161345
%reb,0.19015185003106908
fbps,0.17612437536074324
defrtg,0.169625723047515
2fgm_%uast,0.15255206624886972
blk,0.14616124860757268
3fgm_%uast,0.14183272856421578
%fga_2pt,0.14151756747528343
%blk,0.1301361909345956
pf,0.12553517877643597
oreb%,0.12131768283020057
pace,0.1156515939493121
weight,0.10346571001622751
%ast,0.09821048907638473
ft%,0.09783795395498271
poss,0.09245668609551756
def_ws,0.08743532882260797
height,0.07421155847946984
+/-,0.05992761629953677
%pf,0.05207377767371675
netrtg,0.031234453741140325
stl%,0.021013843373024598
to_ratio,0.014489942684454991
obbs,0.007345626048579346
3p%,-0.030001867669203233
%pts_fbps,-0.04848943382345411
ast/to,-0.057451530793399305
%pts_offto,-0.06797517999645365
age,-0.11129970070518069
%3pm,-0.12457567605263865
%pts_3pt,-0.17106395704686528
%pts_2pt_mr,-0.21050423794963485
