,%pts
%pts,1.0
%fta,0.6325488741165274
pitp,0.6186371942257857
fbps,0.5548735415465142
pfd,0.5238761815082502
pie,0.46588018787639995
ts%,0.43934924790159063
poss,0.4239553237687071
%tov,0.3908872239974246
%pfd,0.3893645900601272
dreb,0.3765573335425161
ft%,0.3436471019989704
fg%,0.31490926241352546
%3pm,0.30020773133490875
3fgm_%uast,0.2893799690692476
def_ws,0.2688213753104081
2fgm_%uast,0.2580281132709894
3p%,0.2546625609769713
pf,0.2521841963439255
offrtg,0.23373187063825687
%ast,0.18251668484164488
blk,0.14693559698862843
+/-,0.13812391121471881
%pts_2pt_mr,0.12113366815245741
netrtg,0.12004187663511699
defrtg,0.09073011976449286
%pts_fbps,0.05345365539217928
%fga_2pt,0.04401911168398116
dreb%,0.03701331446163268
stl%,0.024008445844549597
obbs,0.017133318103963513
%pts_ft,-0.002712866843234184
%pts_3pt,-0.0031472090553355497
%reb,-0.010735677126286394
%pts_offto,-0.02288847589916415
ast/to,-0.028814898670280257
weight,-0.03024126527396362
pace,-0.043025800014811044
height,-0.0573176442579729
%blk,-0.06562452379738315
oreb%,-0.0674949290942411
age,-0.10896399029694477
to_ratio,-0.2387147744413983
%pf,-0.25588329766810886
