,%pts_3pt
%pts_3pt,1.0
%3pm,0.8041630834001022
3p%,0.6444637404363094
ast/to,0.35384248312494027
ft%,0.22807789855001748
offrtg,0.20466143407144197
pace,0.14946880450001718
2fgm_%uast,0.14943132156006717
3fgm_%uast,0.14665363664840114
%ast,0.1382262607159946
defrtg,0.13077119360950515
%pts_fbps,0.12856586521139146
fbps,0.11503805086923484
ts%,0.09493829652458353
stl%,0.08843576744746894
age,0.08608707607087031
obbs,0.0759598385514936
+/-,0.07024214400496981
netrtg,0.06875605266994306
%pts_offto,0.045005763243395606
poss,0.04112410956504887
def_ws,0.03927962111955946
%pts,-0.0031472090553355497
pie,-0.053108767178264904
pfd,-0.0887385670104909
%tov,-0.16301043891603462
%pfd,-0.17106395704686528
%pts_2pt_mr,-0.20727938888549277
pf,-0.2079068496613659
dreb,-0.20885233714069215
to_ratio,-0.3053468542777369
pitp,-0.32217897968385895
fg%,-0.32251255951388075
blk,-0.34060649954307115
%pf,-0.3438621193758089
%fta,-0.37690534365533895
dreb%,-0.39829999429835633
%pts_ft,-0.39871652164818794
height,-0.4050374596970858
weight,-0.4294425039189895
%blk,-0.44209649246476385
%reb,-0.5286058953578209
oreb%,-0.6041506904163444
%fga_2pt,-0.9420843735251004
