,%tov
%tov,1.0
to_ratio,0.5591685499253497
%ast,0.4953227670152936
2fgm_%uast,0.40863402823195005
%fta,0.39503833737267835
%pts,0.3908872239974246
pitp,0.3528622654236076
pfd,0.3487621147426656
3fgm_%uast,0.3427599903649258
fbps,0.28814048517490737
%pfd,0.2876921036877579
dreb,0.18032120172126026
pf,0.17309448616497078
poss,0.17044991416717165
%fga_2pt,0.16341133477415215
%pts_ft,0.1544661634297378
pie,0.15139544137192257
stl%,0.1457711205551251
def_ws,0.1365520465824351
ft%,0.08626305052496108
+/-,0.06517250603276148
%pts_fbps,0.040480707068515615
blk,0.037832168135801696
defrtg,0.03610862702896313
offrtg,0.03070634089929074
3p%,0.02989634015403299
%pts_2pt_mr,0.026541720415562298
fg%,0.020823842389560965
%pts_offto,0.016533012850394158
dreb%,0.015454379658489729
ts%,0.01093578188989527
%pf,0.010147308144587386
ast/to,0.0037869979348839097
%3pm,0.0003354458895618136
netrtg,-0.0013677941114027229
obbs,-0.005447636471287982
%reb,-0.014808363948112592
pace,-0.037737987158719725
oreb%,-0.03843620794115496
%blk,-0.05221625710215277
age,-0.05864461291017875
weight,-0.09303497817603872
%pts_3pt,-0.16301043891603462
height,-0.17035610648353217
