,oreb%
oreb%,1.0
%reb,0.8285776170996287
weight,0.6479459387284806
height,0.6367996045617106
%fga_2pt,0.631346152955668
%blk,0.6289481773066784
dreb%,0.6258513694967814
%pf,0.48070600690272425
blk,0.45339684870471453
fg%,0.4291951983307688
dreb,0.2996360732011174
to_ratio,0.24714554534109837
pf,0.23101887174680874
%fta,0.2307518900177431
pitp,0.22993808539922106
ts%,0.12690929325011968
%pfd,0.12131768283020057
%pts_ft,0.11833728631468687
pie,0.11012073275402082
netrtg,0.036892745065612256
+/-,0.012394703162651868
obbs,0.0057818611444097525
pfd,-0.003046966290717695
offrtg,-0.010201328199239655
%tov,-0.03843620794115496
defrtg,-0.06336930037656473
%pts_offto,-0.06361234828476589
%pts,-0.0674949290942411
age,-0.07373319102680669
pace,-0.08134253625224008
def_ws,-0.08539584028633203
poss,-0.10836208596142057
stl%,-0.1701826278498554
%pts_2pt_mr,-0.18149324138090248
ft%,-0.2650283689095945
%pts_fbps,-0.2881132786855792
fbps,-0.3047811012504363
2fgm_%uast,-0.3156857166985339
3fgm_%uast,-0.3236830543129797
%ast,-0.4617108473107459
ast/to,-0.4621853930276379
3p%,-0.517510075742152
%pts_3pt,-0.6041506904163444
%3pm,-0.6224114116365664
