,pace
pace,1.0
%pts_3pt,0.14946880450001718
%pfd,0.1156515939493121
defrtg,0.1116323521089585
3p%,0.05154265139251815
%pts_ft,0.04207687707935405
%pts_fbps,0.0380953650777611
dreb%,0.02328464626930535
offrtg,0.01332737748239155
%reb,0.012340187958320661
ts%,0.004034884602601661
3fgm_%uast,0.0008335567571293557
obbs,-0.004035933875347538
%pf,-0.006659102250248893
ast/to,-0.00917652029629867
%3pm,-0.011860241882780112
pfd,-0.015200132162378956
stl%,-0.02445003193539557
%blk,-0.026389862064256236
height,-0.03635951730124983
%tov,-0.037737987158719725
fg%,-0.04043753795260687
fbps,-0.042686034947111165
%pts,-0.043025800014811044
2fgm_%uast,-0.04449493980392156
%ast,-0.045642423899159415
%fta,-0.052587751816741385
to_ratio,-0.05419154346843806
+/-,-0.05743492410680196
netrtg,-0.06868101074242558
weight,-0.06993551150992901
%pts_offto,-0.07099365210779277
pitp,-0.07654000333897114
oreb%,-0.08134253625224008
blk,-0.11092342391667698
dreb,-0.12648128067969724
ft%,-0.12792435569970856
pie,-0.13929985314401055
age,-0.14777537490789558
def_ws,-0.19535933623759275
poss,-0.21659151206190172
%fga_2pt,-0.23764327344655242
pf,-0.24116498379284146
%pts_2pt_mr,-0.28738133323091897
