,pfd
pfd,1.0
%pfd,0.7812705971753504
pitp,0.6756828436140332
%fta,0.571189169055601
dreb,0.548482524223486
%pts,0.5238761815082502
poss,0.49051653971395576
fbps,0.49046920401385313
pf,0.4127545577712837
def_ws,0.3818322138098808
offrtg,0.36359601882473763
%tov,0.3487621147426656
pie,0.32297716762167733
ts%,0.2947714979509675
blk,0.2702567333016794
3fgm_%uast,0.2505887868593934
2fgm_%uast,0.2480149766257852
%ast,0.23848675850189593
fg%,0.22425763498170426
ft%,0.21524628352198358
+/-,0.19535649629000207
%pts_ft,0.1868202688397024
defrtg,0.18125186336446808
dreb%,0.1612167926267997
netrtg,0.15834573063575003
3p%,0.11719533648574385
%reb,0.09628337810940184
stl%,0.08269041107110114
ast/to,0.07918912614379399
%fga_2pt,0.07517301582729963
weight,0.04171034969913908
%3pm,0.03224527892949736
%blk,0.028835546608517823
obbs,0.026891629218981715
height,-0.0003062969995714597
oreb%,-0.003046966290717695
%pts_fbps,-0.0050454709621844404
pace,-0.015200132162378956
age,-0.04784371761273306
%pts_offto,-0.05745777853075955
%pts_2pt_mr,-0.08475419505523174
%pts_3pt,-0.0887385670104909
to_ratio,-0.08943070841547336
%pf,-0.19363642254204122
