,to_ratio
to_ratio,1.0
%tov,0.5591685499253497
%pf,0.3446369011922953
%fga_2pt,0.31385079823842704
oreb%,0.24714554534109837
%blk,0.2150297815158129
%reb,0.20529028588063766
weight,0.18513151242458542
%pts_ft,0.16468405778239087
height,0.15263974775585934
dreb%,0.14473845470337884
fg%,0.06820614023939714
blk,0.06586692964898543
pf,0.04073838975878792
%fta,0.024163401274441665
%pfd,0.014489942684454991
%pts_offto,0.007845886482425278
2fgm_%uast,0.0004204965296992291
%ast,-0.013709692802320646
age,-0.026472549641475857
stl%,-0.030649852735010124
obbs,-0.04618560073634204
3fgm_%uast,-0.05090580360144012
pace,-0.05419154346843806
defrtg,-0.057721427729181006
dreb,-0.0630051019700249
%pts_fbps,-0.0827150695895924
ts%,-0.0844643581395652
pitp,-0.0870060362069324
pfd,-0.08943070841547336
%pts_2pt_mr,-0.11359842104189619
def_ws,-0.13043748249096235
+/-,-0.1399671054326986
pie,-0.14043626869982892
netrtg,-0.1802858291855683
poss,-0.20541182187842674
fbps,-0.20871333549968352
ft%,-0.21330407988265723
%pts,-0.2387147744413983
offrtg,-0.2804252766850132
3p%,-0.2848481620996569
%3pm,-0.30423172021016937
%pts_3pt,-0.3053468542777369
ast/to,-0.3300033800243119
