,#,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
0,1,Boston Celtics,38,26,12,.684,48.5,118.6,42.1,88.0,47.8,15.6,41.9,37.2,18.8,22.8,82.6,9.3,34.4,43.7,26.6,13.7,6.7,5.2,3.8,19.2,20.2,5.2
1,2,Brooklyn Nets,38,25,13,.658,48.1,115.1,43.2,84.1,51.4,12.1,31.0,39.1,16.5,20.7,79.9,7.5,33.0,40.4,26.5,14.5,7.1,6.8,3.7,21.7,18.1,4.0
2,2,Milwaukee Bucks,38,25,13,.658,48.5,112.5,40.9,89.9,45.5,12.9,37.9,34.0,17.8,23.9,74.3,12.3,37.1,49.4,24.4,15.7,6.6,5.4,4.6,18.7,19.7,2.0
3,4,Denver Nuggets,37,24,13,.649,48.3,116.4,43.7,86.0,50.8,11.9,30.0,39.8,17.1,22.8,74.8,10.0,32.6,42.6,28.7,15.3,7.2,4.2,4.6,19.4,20.8,1.9
4,4,Memphis Grizzlies,37,24,13,.649,48.3,115.9,43.2,92.5,46.7,11.3,33.1,34.1,18.1,25.3,71.6,13.3,35.9,49.3,25.2,14.6,7.8,6.1,5.2,20.0,21.6,4.9
5,6,Cleveland Cavaliers,39,25,14,.641,48.9,111.6,40.5,84.5,48.0,11.7,32.0,36.5,18.8,23.9,78.8,9.7,33.2,42.8,23.4,14.5,6.5,4.1,4.4,19.1,21.6,5.2
6,7,New Orleans Pelicans,38,24,14,.632,48.8,117.5,42.7,89.0,48.0,11.4,31.1,36.8,20.6,26.1,78.8,11.7,33.7,45.4,26.4,15.4,8.6,4.4,5.3,20.4,21.2,4.6
7,8,Philadelphia 76ers,37,23,14,.622,48.7,112.6,40.2,84.2,47.8,12.7,33.2,38.1,19.5,23.9,81.9,8.3,32.2,40.5,24.5,14.2,8.2,4.9,5.1,20.6,19.7,3.9
8,9,Dallas Mavericks,38,22,16,.579,48.7,112.6,39.3,83.5,47.1,14.9,41.6,35.9,19.1,25.8,74.1,7.8,31.1,38.9,22.0,12.3,7.2,4.1,3.8,21.1,22.7,2.3
9,10,Sacramento Kings,37,20,17,.541,48.1,117.9,42.7,87.5,48.8,13.1,36.8,35.6,19.5,24.8,78.7,8.7,33.3,42.0,26.7,14.7,7.0,3.2,4.5,20.8,21.3,1.2
10,11,Indiana Pacers,39,21,18,.538,48.1,115.8,41.4,89.3,46.4,14.6,39.2,37.2,18.4,23.1,79.7,9.9,32.1,42.0,27.0,15.2,7.7,5.8,5.2,21.5,20.1,-0.3
11,11,LA Clippers,39,21,18,.538,48.3,109.5,39.4,84.6,46.6,12.7,33.8,37.6,18.0,23.5,76.6,9.6,34.4,43.9,22.9,15.5,6.5,4.7,4.3,19.9,19.8,0.1
12,11,New York Knicks,39,21,18,.538,48.6,114.2,41.3,90.4,45.7,11.8,35.0,33.8,19.7,25.5,77.5,12.9,34.2,47.1,23.2,13.6,6.7,4.3,4.6,20.9,21.4,2.8
13,14,Portland Trail Blazers,37,19,18,.514,48.3,112.8,40.3,84.3,47.8,12.8,33.4,38.2,19.4,25.1,77.1,10.7,32.5,43.2,24.2,15.5,6.7,4.2,4.4,20.7,21.6,0.7
14,15,Golden State Warriors,39,20,19,.513,48.4,117.2,42.6,89.9,47.4,16.1,42.9,37.4,15.8,19.9,79.6,10.0,33.8,43.8,29.4,16.8,6.6,4.0,4.2,22.0,18.6,-0.4
15,15,Miami Heat,39,20,19,.513,48.4,109.0,39.4,86.8,45.4,12.4,36.4,34.0,17.9,21.8,82.0,9.6,31.1,40.7,23.9,13.4,8.3,3.1,3.9,19.4,19.8,-0.4
16,15,Phoenix Suns,39,20,19,.513,48.4,113.5,42.1,90.2,46.7,13.1,34.3,38.2,16.2,20.6,78.9,11.9,31.1,43.0,26.7,13.7,7.1,5.2,4.2,21.3,20.0,2.4
17,18,Utah Jazz,40,19,21,.475,48.4,117.2,42.1,89.6,47.0,14.6,40.0,36.5,18.4,23.4,78.3,11.8,31.8,43.6,25.8,15.4,7.1,4.6,4.7,21.1,21.2,0.6
18,19,Atlanta Hawks,38,18,20,.474,48.7,115.4,43.5,92.8,46.8,10.3,31.1,33.3,18.1,22.1,82.0,10.8,33.5,44.3,24.1,13.0,7.1,4.9,5.3,19.5,20.4,-0.9
19,20,Minnesota Timberwolves,39,18,21,.462,48.1,114.6,42.4,86.5,49.0,11.1,32.3,34.2,18.8,24.3,77.4,9.1,32.7,41.9,25.4,15.8,8.2,5.3,3.9,22.1,20.8,-0.9
20,21,Chicago Bulls,38,17,21,.447,48.7,114.5,42.6,87.4,48.7,10.5,28.5,36.8,18.9,22.9,82.3,8.6,33.6,42.2,24.3,14.0,7.7,4.8,5.3,20.0,19.3,-1.0
21,21,Los Angeles Lakers,38,17,21,.447,48.4,116.0,42.8,88.7,48.2,10.3,30.7,33.7,20.1,25.3,79.6,9.3,35.7,45.0,24.9,14.8,6.6,4.8,4.9,18.5,21.1,-1.4
22,23,Washington Wizards,39,17,22,.436,48.3,112.1,41.9,87.0,48.1,10.8,31.5,34.4,17.6,22.8,77.1,9.3,34.6,43.9,25.0,13.9,6.9,5.6,4.4,19.3,19.3,-0.6
23,24,Oklahoma City Thunder,38,16,22,.421,48.8,116.1,42.8,92.9,46.1,11.9,33.8,35.3,18.5,23.3,79.3,11.5,32.8,44.3,24.0,14.3,8.2,5.1,5.6,21.7,20.0,-1.0
24,24,Toronto Raptors,38,16,22,.421,48.4,111.1,40.5,90.4,44.7,10.5,32.5,32.4,19.6,24.7,79.4,12.4,30.0,42.4,22.7,12.3,9.4,5.1,4.5,20.6,20.9,-0.2
25,26,Orlando Magic,38,14,24,.368,48.3,110.2,39.8,84.9,46.8,10.6,30.8,34.4,20.0,25.1,79.7,10.2,33.2,43.4,22.2,15.7,6.7,4.9,5.1,20.9,20.2,-3.8
26,27,San Antonio Spurs,38,12,26,.316,48.1,111.7,42.6,90.4,47.1,11.1,32.1,34.6,15.5,21.2,73.1,12.0,30.6,42.6,27.0,16.0,7.0,4.2,4.3,20.1,19.1,-9.2
27,28,Detroit Pistons,41,11,30,.268,48.4,111.8,39.4,87.6,45.0,11.7,33.0,35.5,21.3,27.6,77.3,11.3,31.9,43.1,22.3,14.7,6.9,3.6,5.9,22.3,22.0,-7.1
28,29,Houston Rockets,38,10,28,.263,48.3,109.3,39.1,88.0,44.4,11.6,35.0,33.0,19.6,25.6,76.7,13.2,33.7,46.9,21.7,16.9,7.6,4.6,6.0,20.7,21.8,-6.5
29,30,Charlotte Hornets,39,10,29,.256,48.8,111.3,41.5,93.4,44.4,10.7,33.4,32.1,17.6,23.5,74.7,12.6,33.1,45.7,25.0,14.1,7.9,5.1,6.4,21.4,20.9,-7.2
